ISO3,region,country,PfPR_obs,PfPR_sim,incidence_obs,incidence_sim,biting_rate,p_sympt,ITN_coverage,pop_multiplier,treatment_seeking
TZA,Dar-es-salaam,Tanzania,0.0179191571999329,0.017931134592998447,35.8667841733142,35.89185685804651,0.2038252573686765,0.6539455749079099,0.5513,2.144574283905796,10
AGO,Cunene,Angola,0.0900693219200741,0.09006382159120437,141.06029712957098,141.10256591691643,0.28581924398429626,0.5789842658420987,0.428,0.3314986133496115,10
AGO,Bengo,Angola,0.1607133240040489,0.16072054268635333,201.169895905141,201.1779689381208,0.3999109170149129,0.5255269076801402,0.428,0.2098302964205001,10
BFA,Hauts-Bassins,Burkina Faso,0.214247536403079,0.21423300760948927,273.753724145687,273.7445283775876,0.29704890375113674,0.5387827547938482,0.3766,0.7942183195909351,10
NGA,Niger,Nigeria,0.258627585085218,0.25860768265023903,323.521919389019,323.5077875229947,0.2933857762948825,0.5345195611021155,0.5364,3.45464171708115,10
AGO,Moxico,Angola,0.308239828388529,0.30824041931919816,326.47712366187,326.4777406347372,0.6254008543688763,0.4890638592134682,0.428,0.3199936047441998,10
CMR,Sud,Cameroon,0.392340045724191,0.38228502831717853,369.352819814989,355.3648582505713,14.99978536659335,0.4543380502734643,0.6994,0.3305264380006568,10
COD,Tshuapa,Democratic Republic of the Congo,0.612608924360282,0.4650476660832692,454.927458518993,342.4333043007774,14.9988315669798,0.39271260917227147,0.6158,0.4147167269071501,10
