quantile,optimized_cost_per_qaly,static_cost_per_qaly
2.5%,33.375845955144875,35.76204531344639
25%,61.59492117973915,66.11506248756672
50%,84.85933961288058,91.17027765307432
75%,116.57024048595815,125.41407874267507
97.5%,211.32282450213162,227.97434639867186
