year,mortality,R,n_assays,n_mosq
2010,64.61095344865127,0.35894565389652744,338,41335
2011,70.49832072985619,0.06300903784333636,593,53821
2012,69.85063325166735,0.07825989906422305,566,58776
2013,69.74940497206251,0.08092939869315023,558,61745
2014,63.951950914756424,0.41515319867560696,604,64826
2015,58.400513991751296,0.8396754113735585,482,45098
2016,61.2709544035265,0.6507770153993534,429,43556
2017,57.98368090100567,0.8588625762242886,465,46437
