region,a_fit,a_lo,a_hi,p_fit,p_lo,p_hi
Dar-es-salaam,0.2038252573686765,0.19391318354187426,0.25759351173675543,0.6539455749079099,0.561461377962251,0.7728712831626631
Cunene,0.2858192439842962,0.25838531776282736,0.32639681759267203,0.5789842658420987,0.46670623586179033,0.6977611541241592
Bengo,0.3999109170149129,0.35058714316284484,0.5202074787271461,0.5255269076801402,0.41630336945083835,0.6275116357377359
Hauts-Bassins,0.2970489037511367,0.2626219743728508,0.3826797566200834,0.5387827547938482,0.41892545512568385,0.6535933849123737
Niger,0.2933857762948825,0.2524241024501507,0.36859904574590413,0.5345195611021155,0.4203100210273921,0.6654752634252816
Moxico,0.6254008543688763,0.39771782847032433,14.9999999992457,0.4890638592134682,0.3809444657215138,0.6114966801025525
Sud,14.99978536659335,0.5038892013287153,14.999999999964848,0.4543380502734643,0.35815115349270604,0.5557440810630666
Tshuapa,14.9988315669798,14.997596313847476,14.99999998921998,0.3927126091722714,0.3275300521300344,0.4648223234453098
