ISO3,region,country,incidence_obs,incidence_sim,PfPR_obs,PfPR_sim,biting_rate,ITN_coverage,pop_multiplier,population,mortality,treatment_seeking
TZA,Dar-es-salaam,Tanzania,35.8667841733142,35.866784172244415,0.0179191571999329,0.0027132151114384892,0.3956581420504881,0.5513,2.144574283905796,6644406.47217125,9.56874044068082,10
AGO,Cunene,Angola,141.06029712957098,141.0602971197515,0.0900693219200741,0.010561967628618971,0.6150527525493452,0.428,0.3314986133496115,1027062.36318588,17.7731,10
AGO,Bengo,Angola,201.169895905141,201.16989589900794,0.16071332400404897,0.015064332472776432,0.7814130764348008,0.428,0.20983029642050016,650104.6804752349,41.4957,10
BFA,Hauts-Bassins,Burkina Faso,273.753724145687,273.75372415794965,0.21424753640307903,0.02062279621752398,0.5765617597813617,0.3766,0.7942183195909351,2460679.20454407,153.4664,10
NGA,Niger,Nigeria,323.521919389019,323.5219194077631,0.258627585085218,0.02422665316819829,0.5497937860415187,0.5364,3.45464171708115,10703310.1890049,91.6529,10
AGO,Moxico,Angola,326.47712366187,326.47712365270104,0.308239828388529,0.02468295598995526,0.7012234990046635,0.428,0.3199936047441998,991417.081875801,89.9333,10
CMR,Sud,Cameroon,369.352819814989,369.35281982174064,0.392340045724191,0.02767215355367976,0.7007901555271745,0.6994,0.3305264380006568,1024050.33034134,191.8688,10
COD,Tshuapa,Democratic Republic of the Congo,454.927458518993,454.9274585181082,0.612608924360282,0.03446012491176033,0.6915774450171375,0.6158,0.4147167269071501,1284892.0762777303,123.7087,10
