ISO3,National Unit,Name,PfPR_pct,incidence_per_1000,mortality,clinical_cases,population,ITN_coverage_pct,ITN_year
TZA,Tanzania,Dar-es-salaam,1.7919157199932902,35.8667841733142,9.56874044068082,238313.49289713823,6644406.47217125,55.13,2019.0
AGO,Angola,Cunene,9.00693219200741,141.06029712957098,17.7731,144877.7221215996,1027062.36318588,42.8,2019.0
AGO,Angola,Bengo,16.0713324004049,201.169895905141,41.4957,130781.49089864796,650104.6804752349,42.8,2019.0
BFA,Burkina Faso,Hauts-Bassins,21.4247536403079,273.753724145687,153.4664,673620.0961717858,2460679.20454407,37.66,2019.0
NGA,Nigeria,Niger,25.8627585085218,323.521919389019,91.6529,3462755.4561629086,10703310.1890049,53.64,2019.0
AGO,Angola,Moxico,30.8239828388529,326.47712366187,89.9333,323674.99724005617,991417.081875801,42.8,2019.0
CMR,Cameroon,Sud,39.2340045724191,369.352819814989,191.8688,378235.87714404496,1024050.33034134,69.94,2019.0
COD,Democratic Republic of the Congo,Tshuapa,61.2608924360282,454.927458518993,123.7087,584532.6867322199,1284892.0762777303,61.58,2019.0
