input,prcc
case_fatality,-0.9658619946540604
annual_incidence,-0.8266669709807846
itn_cost,0.7965540412519118
years_per_net,-0.6449942114100693
dist_cost,0.553867627460612
givewell_effect,-0.5531242949455449
protected_per_net,-0.5240201067252803
life_exp,-0.5046084092217138
age_at_death,0.32806244644644905
disability_weight,-0.12306235546580815
duration_yrs,-0.08393951367073683
r_ppo,-0.028347047922131653
r_static,0.018037473125636635
