lat,lon,GLDAS_NOAH10_M_2_1_AvgSurfT_inst
-37.5,-59.5,287.6518
-37.5,-58.5,287.44968
-37.5,-57.5,287.81976
-37.5,140.5,287.7816
-37.5,141.5,287.21744
-37.5,142.5,287.2781
-37.5,143.5,287.15466
-37.5,144.5,287.62393
-37.5,145.5,286.2512
-37.5,146.5,285.7327
-37.5,147.5,285.32736
-37.5,148.5,285.86655
-37.5,149.5,287.42303
-37.5,175.5,285.65775
-36.5,-72.5,286.68707
-36.5,-71.5,284.48715
-36.5,-70.5,281.95538
-36.5,-69.5,285.87106
-36.5,-68.5,288.32486
-36.5,-67.5,291.74463
-36.5,-66.5,292.3584
-36.5,-65.5,291.3011
-36.5,-64.5,290.56744
-36.5,-63.5,289.84384
-36.5,-62.5,289.44766
-36.5,-61.5,288.95047
-36.5,-60.5,288.5013
-36.5,-59.5,288.34558
-36.5,-58.5,288.49518
-36.5,-57.5,288.68323
-36.5,140.5,288.82227
-36.5,141.5,289.38123
-36.5,142.5,289.52985
-36.5,143.5,289.4384
-36.5,144.5,288.7253
-36.5,145.5,288.0229
-36.5,146.5,286.13657
-36.5,147.5,284.44855
-36.5,148.5,284.52646
-36.5,149.5,286.809
-36.5,174.5,289.24792
-35.5,-71.5,285.6271
-35.5,-70.5,282.86636
-35.5,-69.5,283.55206
-35.5,-68.5,291.09628
-35.5,-67.5,292.0967
-35.5,-66.5,292.7573
-35.5,-65.5,291.7304
-35.5,-64.5,290.5884
-35.5,-63.5,290.15616
-35.5,-62.5,290.0957
-35.5,-61.5,289.44086
-35.5,-60.5,289.2503
-35.5,-59.5,289.22186
-35.5,-58.5,289.23074
-35.5,-57.5,289.65564
-35.5,139.5,290.2899
-35.5,140.5,290.9759
-35.5,141.5,291.22858
-35.5,142.5,291.2985
-35.5,143.5,291.16492
-35.5,144.5,291.00623
-35.5,145.5,290.75034
-35.5,146.5,289.8931
-35.5,147.5,287.74292
-35.5,148.5,286.43564
-35.5,149.5,287.23062
-35.5,173.5,289.1367
-34.5,-71.5,288.17465
-34.5,-70.5,284.60483
-34.5,-69.5,284.64713
-34.5,-68.5,289.5644
-34.5,-67.5,293.23767
-34.5,-66.5,293.55682
-34.5,-65.5,291.9914
-34.5,-64.5,291.09402
-34.5,-63.5,290.60803
-34.5,-62.5,290.37305
-34.5,-61.5,289.91617
-34.5,-60.5,289.92706
-34.5,-59.5,289.73584
-34.5,-58.5,291.59616
-34.5,-56.5,289.70392
-34.5,-55.5,289.12076
-34.5,-54.5,289.66122
-34.5,19.5,290.3611
-34.5,20.5,290.57288
-34.5,116.5,288.8867
-34.5,117.5,288.88306
-34.5,118.5,289.61194
-34.5,135.5,291.29868
-34.5,138.5,290.4028
-34.5,139.5,291.33786
-34.5,140.5,292.25998
-34.5,141.5,292.69247
-34.5,142.5,292.68097
-34.5,143.5,293.0354
-34.5,144.5,293.02267
-34.5,145.5,292.50482
-34.5,146.5,291.2913
-34.5,147.5,289.6031
-34.5,148.5,287.33014
-34.5,149.5,287.98587
-34.5,150.5,289.5503
-33.5,-71.5,288.0291
-33.5,-70.5,281.6968
-33.5,-69.5,282.19467
-33.5,-68.5,292.0174
-33.5,-67.5,293.84534
-33.5,-66.5,292.04474
-33.5,-65.5,291.0011
-33.5,-64.5,290.79327
-33.5,-63.5,290.99292
-33.5,-62.5,290.91403
-33.5,-61.5,290.87366
-33.5,-60.5,290.7436
-33.5,-59.5,290.34445
-33.5,-58.5,290.46997
-33.5,-57.5,290.18054
-33.5,-56.5,289.969
-33.5,-55.5,289.594
-33.5,-54.5,289.5029
-33.5,-53.5,291.10678
-33.5,18.5,291.74884
-33.5,19.5,291.57925
-33.5,20.5,292.14926
-33.5,21.5,293.19937
-33.5,22.5,291.69034
-33.5,23.5,292.62305
-33.5,24.5,292.0053
-33.5,25.5,291.24808
-33.5,26.5,291.71164
-33.5,115.5,291.273
-33.5,116.5,289.79086
-33.5,117.5,289.8267
-33.5,118.5,290.24207
-33.5,119.5,290.6884
-33.5,120.5,290.97784
-33.5,121.5,290.8996
-33.5,122.5,291.0817
-33.5,123.5,291.72836
-33.5,135.5,292.39203
-33.5,136.5,292.34143
-33.5,138.5,291.0979
-33.5,139.5,292.9103
-33.5,140.5,293.84924
-33.5,141.5,294.15454
-33.5,142.5,293.8387
-33.5,143.5,294.08084
-33.5,144.5,294.0217
-33.5,145.5,293.11975
-33.5,146.5,292.1804
-33.5,147.5,290.7986
-33.5,148.5,288.5488
-33.5,149.5,287.46362
-33.5,150.5,288.75357
-32.5,-70.5,282.26785
-32.5,-69.5,281.79575
-32.5,-68.5,291.561
-32.5,-67.5,294.5418
-32.5,-66.5,292.59982
-32.5,-65.5,291.5276
-32.5,-64.5,290.0576
-32.5,-63.5,291.4155
-32.5,-62.5,291.5848
-32.5,-61.5,291.5531
-32.5,-60.5,291.3169
-32.5,-59.5,291.06946
-32.5,-58.5,290.97882
-32.5,-57.5,290.7133
-32.5,-56.5,290.83603
-32.5,-55.5,290.15884
-32.5,-54.5,290.07947
-32.5,-53.5,290.87314
-32.5,18.5,292.14938
-32.5,19.5,293.38458
-32.5,20.5,293.0441
-32.5,21.5,291.91147
-32.5,22.5,292.37595
-32.5,23.5,291.9897
-32.5,24.5,290.81396
-32.5,25.5,291.884
-32.5,26.5,290.48245
-32.5,27.5,290.76974
-32.5,28.5,291.2058
-32.5,116.5,290.85428
-32.5,117.5,291.1277
-32.5,118.5,291.49533
-32.5,119.5,291.44708
-32.5,120.5,291.6903
-32.5,121.5,291.88303
-32.5,122.5,291.50925
-32.5,123.5,292.236
-32.5,124.5,292.65805
-32.5,125.5,292.5813
-32.5,134.5,293.27884
-32.5,135.5,294.03506
-32.5,136.5,293.9226
-32.5,137.5,293.84692
-32.5,138.5,292.10965
-32.5,139.5,293.73624
