lat,lon,GLDAS_NOAH10_M_2_1_CanopInt_inst
-37.5,-70.5,0.10051471
-37.5,-69.5,0.11003284
-37.5,-68.5,0.07926295
-37.5,-67.5,0.053725358
-37.5,-66.5,0.04540904
-37.5,-65.5,0.04586395
-37.5,-64.5,0.048353508
-37.5,-63.5,0.051604815
-37.5,-62.5,0.06264112
-37.5,-61.5,0.068738975
-37.5,-60.5,0.07282318
-37.5,-59.5,0.07896965
-37.5,-58.5,0.081798844
-37.5,-57.5,0.08588106
-37.5,140.5,0.068881415
-37.5,141.5,0.07344354
-37.5,142.5,0.06962947
-37.5,143.5,0.072040856
-37.5,144.5,0.073963635
-37.5,145.5,0.08637582
-37.5,146.5,0.08696015
-37.5,147.5,0.09126127
-37.5,148.5,0.090149246
-37.5,149.5,0.08720147
-37.5,175.5,0.12918691
-36.5,-72.5,0.0881798
-36.5,-71.5,0.089529015
-36.5,-70.5,0.11436297
-36.5,-69.5,0.09663135
-36.5,-68.5,0.08349567
-36.5,-67.5,0.053979352
-36.5,-66.5,0.046909224
-36.5,-65.5,0.04984574
-36.5,-64.5,0.05488923
-36.5,-63.5,0.059968956
-36.5,-62.5,0.062809266
-36.5,-61.5,0.066707075
-36.5,-60.5,0.07351596
-36.5,-59.5,0.07849524
-36.5,-58.5,0.07955857
-36.5,-57.5,0.08464006
-36.5,140.5,0.058600083
-36.5,141.5,0.049444046
-36.5,142.5,0.05080806
-36.5,143.5,0.051446714
-36.5,144.5,0.06327191
-36.5,145.5,0.07315784
-36.5,146.5,0.08418409
-36.5,147.5,0.086792774
-36.5,148.5,0.090939105
-36.5,149.5,0.09109664
-36.5,174.5,0.091777876
-35.5,-71.5,0.07960275
-35.5,-70.5,0.073181815
-35.5,-69.5,0.082786776
-35.5,-68.5,0.052801635
-35.5,-67.5,0.047636457
-35.5,-66.5,0.04381872
-35.5,-65.5,0.050276916
-35.5,-64.5,0.054691404
-35.5,-63.5,0.058208503
-35.5,-62.5,0.06106969
-35.5,-61.5,0.0671495
-35.5,-60.5,0.072841495
-35.5,-59.5,0.079478934
-35.5,-58.5,0.07876584
-35.5,-57.5,0.07867368
-35.5,139.5,0.044472504
-35.5,140.5,0.039557498
-35.5,141.5,0.036366276
-35.5,142.5,0.03721279
-35.5,143.5,0.039874114
-35.5,144.5,0.044897508
-35.5,145.5,0.051925838
-35.5,146.5,0.064738534
-35.5,147.5,0.07682421
-35.5,148.5,0.07653779
-35.5,149.5,0.08349634
-35.5,173.5,0.0957313
-34.5,-71.5,0.06146695
-34.5,-70.5,0.057650175
-34.5,-69.5,0.057727437
-34.5,-68.5,0.05020024
-34.5,-67.5,0.045215983
-34.5,-66.5,0.043683022
-34.5,-65.5,0.051005315
-34.5,-64.5,0.053887673
-34.5,-63.5,0.057792045
-34.5,-62.5,0.06284134
-34.5,-61.5,0.06883692
-34.5,-60.5,0.07859823
-34.5,-59.5,0.08665616
-34.5,-58.5,0.08723647
-34.5,-56.5,0.094411984
-34.5,-55.5,0.10248691
-34.5,-54.5,0.104939766
-34.5,19.5,0.057930637
-34.5,20.5,0.058475252
-34.5,116.5,0.07753808
-34.5,117.5,0.07139304
-34.5,118.5,0.05370123
-34.5,135.5,0.033557236
-34.5,138.5,0.03620677
-34.5,139.5,0.03570346
-34.5,140.5,0.03117328
-34.5,141.5,0.02730611
-34.5,142.5,0.029300645
-34.5,143.5,0.029502174
-34.5,144.5,0.035036355
-34.5,145.5,0.041355483
-34.5,146.5,0.04895956
-34.5,147.5,0.061720204
-34.5,148.5,0.07813183
-34.5,149.5,0.07982709
-34.5,150.5,0.08742793
-33.5,-71.5,0.046810128
-33.5,-70.5,0.07892004
-33.5,-69.5,0.056304634
-33.5,-68.5,0.035329867
-33.5,-67.5,0.036104918
-33.5,-66.5,0.044993766
-33.5,-65.5,0.053385474
-33.5,-64.5,0.055448513
-33.5,-63.5,0.059194714
-33.5,-62.5,0.064076826
-33.5,-61.5,0.06750266
-33.5,-60.5,0.07556723
-33.5,-59.5,0.08616902
-33.5,-58.5,0.08892102
-33.5,-57.5,0.09252341
-33.5,-56.5,0.093113326
-33.5,-55.5,0.09676756
-33.5,-54.5,0.10600508
-33.5,-53.5,0.10419501
-33.5,18.5,0.055441264
-33.5,19.5,0.052723937
-33.5,20.5,0.039267316
-33.5,21.5,0.040379982
-33.5,22.5,0.041735243
-33.5,23.5,0.041888006
-33.5,24.5,0.05028334
-33.5,25.5,0.061761655
-33.5,26.5,0.070648186
-33.5,115.5,0.05780649
-33.5,116.5,0.0751734
-33.5,117.5,0.059609648
-33.5,118.5,0.045767386
-33.5,119.5,0.04129506
-33.5,120.5,0.041061025
-33.5,121.5,0.038731493
-33.5,122.5,0.036885582
-33.5,123.5,0.037386626
-33.5,135.5,0.031061852
-33.5,136.5,0.02845224
-33.5,138.5,0.029897865
-33.5,139.5,0.02535401
-33.5,140.5,0.0215312
-33.5,141.5,0.020742167
-33.5,142.5,0.022827793
-33.5,143.5,0.023011634
-33.5,144.5,0.025616571
-33.5,145.5,0.033757348
-33.5,146.5,0.03976846
-33.5,147.5,0.04623713
-33.5,148.5,0.0633943
-33.5,149.5,0.07453369
-33.5,150.5,0.08243016
-32.5,-70.5,0.0643288
-32.5,-69.5,0.025432501
-32.5,-68.5,0.027129225
-32.5,-67.5,0.028964568
-32.5,-66.5,0.036380164
-32.5,-65.5,0.04654506
-32.5,-64.5,0.05519183
-32.5,-63.5,0.057377625
-32.5,-62.5,0.06130125
-32.5,-61.5,0.06575906
-32.5,-60.5,0.070389874
-32.5,-59.5,0.08054631
-32.5,-58.5,0.08908975
-32.5,-57.5,0.095443904
-32.5,-56.5,0.09528454
-32.5,-55.5,0.10177877
-32.5,-54.5,0.107936606
-32.5,-53.5,0.10509832
-32.5,18.5,0.040092338
-32.5,19.5,0.034745455
-32.5,20.5,0.02437453
-32.5,21.5,0.023093002
-32.5,22.5,0.027707372
-32.5,23.5,0.031602412
-32.5,24.5,0.041962583
-32.5,25.5,0.05276087
-32.5,26.5,0.069040105
-32.5,27.5,0.08986757
-32.5,28.5,0.09065911
-32.5,116.5,0.0607827
-32.5,117.5,0.04726634
-32.5,118.5,0.037859295
-32.5,119.5,0.0338719
-32.5,120.5,0.032210667
-32.5,121.5,0.031604666
-32.5,122.5,0.032171942
-32.5,123.5,0.029711716
-32.5,124.5,0.031477775
-32.5,125.5,0.033015553
-32.5,134.5,0.024005271
-32.5,135.5,0.022894118
-32.5,136.5,0.020085303
-32.5,137.5,0.020217255
-32.5,138.5,0.024035128
-32.5,139.5,0.021195356
-32.5,140.5,0.018457737
-32.5,141.5,0.017724846
-32.5,142.5,0.01951806
-32.5,143.5,0.021642476
-32.5,144.5,0.023696166
-32.5,145.5,0.027814196
-32.5,146.5,0.035555903
-32.5,147.5,0.040647425
-32.5,148.5,0.05420564
-32.5,149.5,0.06939132
-32.5,150.5,0.07514865
-32.5,151.5,0.09200041
-31.5,-71.5,0.031834602
-31.5,-70.5,0.028752627
-31.5,-69.5,0.01449075
-31.5,-68.5,0.01921342
-31.5,-67.5,0.024535464
-31.5,-66.5,0.031472154
-31.5,-65.5,0.04181057
-31.5,-64.5,0.052962795
-31.5,-63.5,0.053399593
-31.5,-62.5,0.05385221
-31.5,-61.5,0.060441665
-31.5,-60.5,0.070316516
-31.5,-59.5,0.08087303
-31.5,-58.5,0.09174348
-31.5,-57.5,0.09492548
-31.5,-56.5,0.094871216
-31.5,-55.5,0.10558271
-31.5,-54.5,0.10651695
-31.5,-53.5,0.111216135
-31.5,-52.5,0.11676074
-31.5,18.5,0.02157133
-31.5,19.5,0.020197317
-31.5,20.5,0.010708555
-31.5,21.5,0.010318099
-31.5,22.5,0.017345658
-31.5,23.5,0.024670733
-31.5,24.5,0.035074867
-31.5,25.5,0.046049748
-31.5,26.5,0.05721829
-31.5,27.5,0.08299123
-31.5,28.5,0.105946496
-31.5,29.5,0.116798446
-31.5,116.5,0.05284742
-31.5,117.5,0.03909264
-31.5,118.5,0.029986195
-31.5,119.5,0.028002094
-31.5,120.5,0.025969543
-31.5,121.5,0.024365889
-31.5,122.5,0.026413554
-31.5,123.5,0.02529537
-31.5,124.5,0.026477356
-31.5,125.5,0.027706828
-31.5,126.5,0.025960745
-31.5,127.5,0.026694914
