lat,lon,AIRS3STM_006_RelHumSurf_D
-89.5,6.5,86.61029
-89.5,7.5,84.68
-89.5,8.5,86.009514
-89.5,9.5,86.041664
-89.5,10.5,85.84375
-89.5,11.5,86.01432
-89.5,12.5,86.037735
-89.5,13.5,86.313576
-89.5,14.5,86.521225
-89.5,15.5,85.98549
-89.5,16.5,85.375
-89.5,17.5,83.58053
-89.5,18.5,85.79412
-89.5,19.5,87.20602
-89.5,20.5,85.88412
-89.5,21.5,84.883156
-89.5,22.5,84.84144
-89.5,23.5,85.69875
-89.5,24.5,86.46542
-89.5,25.5,87.126205
-89.5,26.5,87.08456
-89.5,27.5,86.40365
-89.5,28.5,86.86125
-89.5,29.5,85.0527
-89.5,30.5,85.78061
-89.5,31.5,85.78625
-89.5,32.5,85.7311
-89.5,33.5,86.2625
-89.5,34.5,86.05163
-89.5,35.5,86.13375
-89.5,36.5,87.24609
-89.5,37.5,85.56625
-89.5,38.5,85.97011
-89.5,39.5,86.11439
-89.5,40.5,84.34736
-89.5,41.5,86.56875
-89.5,42.5,85.27625
-89.5,43.5,87.85714
-89.5,44.5,85.76276
-89.5,45.5,85.65824
-89.5,46.5,85.52778
-89.5,47.5,86.09028
-89.5,48.5,85.277176
-89.5,49.5,85.945915
-89.5,50.5,85.71568
-89.5,51.5,84.22704
-89.5,52.5,86.375
-89.5,53.5,86.125
-89.5,54.5,85.92157
-89.5,55.5,86.44975
-89.5,56.5,85.07653
-89.5,57.5,88.890305
-89.5,58.5,86.86224
-89.5,59.5,86.82048
-89.5,60.5,86.42347
-89.5,61.5,85.82875
-89.5,62.5,85.77806
-89.5,63.5,86.478775
-89.5,64.5,86.51849
-89.5,65.5,86.73585
-89.5,66.5,86.131645
-89.5,67.5,85.941765
-89.5,68.5,86.69947
-89.5,69.5,87.447014
-89.5,70.5,86.33378
-89.5,71.5,86.715805
-89.5,72.5,85.5375
-89.5,73.5,85.69622
-89.5,74.5,85.51082
-89.5,75.5,86.48568
-89.5,76.5,85.16537
-89.5,77.5,85.27273
-89.5,78.5,87.046875
-89.5,79.5,85.83056
-89.5,80.5,85.94947
-89.5,81.5,86.73363
-89.5,82.5,86.061195
-89.5,83.5,85.71562
-89.5,84.5,87.504166
-89.5,85.5,86.123695
-89.5,86.5,87.61413
-89.5,87.5,86.34821
-89.5,88.5,86.665764
-89.5,89.5,86.21354
-89.5,90.5,86.508156
-89.5,91.5,86.88281
-89.5,92.5,85.916664
-89.5,93.5,86.328125
-89.5,94.5,85.76693
-89.5,95.5,85.95878
-89.5,96.5,87.57211
-89.5,97.5,87.01989
-89.5,98.5,86.28333
-89.5,99.5,87.43071
-89.5,100.5,85.15
-89.5,101.5,86.01223
-89.5,102.5,85.31386
-89.5,103.5,86.69388
-89.5,104.5,87.37222
-89.5,105.5,85.9375
-89.5,106.5,86.38372
-89.5,107.5,86.88
-89.5,108.5,85.491844
-89.5,109.5,87.29818
-89.5,110.5,86.23828
-89.5,111.5,87.18466
-89.5,112.5,86.554344
-89.5,113.5,86.754906
-89.5,114.5,85.25383
-89.5,115.5,86.477394
-89.5,116.5,85.16146
-89.5,117.5,86.091835
-89.5,118.5,86.56641
-89.5,119.5,86.90691
-89.5,120.5,85.852776
-89.5,121.5,84.59593
-89.5,122.5,87.15689
-89.5,123.5,85.005554
-89.5,124.5,86.16071
-89.5,125.5,87.15365
-89.5,126.5,86.884514
-89.5,127.5,86.97787
-89.5,128.5,85.289406
-89.5,129.5,85.87222
-89.5,130.5,84.27128
-89.5,131.5,87.63393
-89.5,132.5,84.764206
-89.5,133.5,86.504265
-89.5,134.5,86.046196
-89.5,135.5,85.66805
-89.5,136.5,87.259514
-89.5,137.5,86.33125
-89.5,138.5,85.69271
-89.5,139.5,86.547195
-89.5,140.5,85.40365
-89.5,141.5,87.78646
-89.5,142.5,86.39093
-89.5,143.5,85.67689
-89.5,144.5,85.0758
-89.5,145.5,86.32682
-89.5,146.5,86.495
-89.5,147.5,86.50521
-89.5,148.5,87.035904
-89.5,149.5,87.793365
-89.5,150.5,85.995636
-89.5,151.5,84.90292
-89.5,152.5,86.21739
-89.5,153.5,85.13663
-89.5,154.5,86.638084
-89.5,155.5,85.956635
-89.5,156.5,86.089096
-89.5,157.5,86.97619
-89.5,158.5,85.093056
-89.5,159.5,84.40341
-89.5,160.5,87.14167
-89.5,161.5,85.6622
-89.5,162.5,86.839676
-89.5,163.5,86.84659
-89.5,164.5,85.815475
-89.5,165.5,86.70596
-89.5,166.5,86.234375
-89.5,167.5,86.71111
-89.5,168.5,86.85677
-89.5,169.5,85.63032
-89.5,170.5,86.216034
-89.5,171.5,85.45785
-89.5,172.5,85.56707
-89.5,173.5,84.064026
-89.5,174.5,85.99601
-89.5,175.5,84.50961
-89.5,176.5,84.79223
-89.5,177.5,84.87335
-89.5,178.5,85.55398
-89.5,179.5,86.683136
-88.5,-179.5,87.061226
-88.5,-178.5,86.472725
-88.5,-177.5,86.51082
-88.5,-176.5,87.86539
-88.5,-175.5,87.023094
-88.5,-174.5,86.793106
-88.5,-173.5,87.19079
-88.5,-172.5,87.119514
-88.5,-171.5,87.28125
-88.5,-170.5,87.23077
-88.5,-169.5,86.93311
-88.5,-168.5,86.56136
-88.5,-167.5,87.368645
-88.5,-166.5,86.25329
-88.5,-165.5,88.114586
-88.5,-164.5,86.865906
-88.5,-163.5,86.36546
-88.5,-162.5,85.05373
-88.5,-161.5,85.755684
-88.5,-160.5,86.91538
-88.5,-159.5,87.44519
-88.5,-158.5,87.240135
-88.5,-157.5,85.55398
-88.5,-156.5,86.05664
-88.5,-155.5,87.73414
-88.5,-154.5,86.88173
-88.5,-153.5,86.57276
-88.5,-152.5,86.89015
-88.5,-151.5,86.37216
-88.5,-150.5,87.145
-88.5,-149.5,86.05137
-88.5,-148.5,85.1567
-88.5,-147.5,86.927086
-88.5,-146.5,86.91848
-88.5,-145.5,85.510414
-88.5,-144.5,86.55137
-88.5,-143.5,86.10914
-88.5,-142.5,86.64286
-88.5,-141.5,86.78716
-88.5,-140.5,85.338394
-88.5,-139.5,86.90104
-88.5,-138.5,85.84122
-88.5,-137.5,86.41989
-88.5,-136.5,85.96452
-88.5,-135.5,84.99632
-88.5,-134.5,84.55729
-88.5,-133.5,86.5193
-88.5,-132.5,84.62847
-88.5,-131.5,85.45221
-88.5,-130.5,85.38419
-88.5,-129.5,85.29423
-88.5,-128.5,85.946915
-88.5,-127.5,85.438446
-88.5,-126.5,85.972115
-88.5,-125.5,85.73346
-88.5,-124.5,86.76798
-88.5,-123.5,86.33904
-88.5,-122.5,84.53758
-88.5,-121.5,87.21
-88.5,-120.5,85.89436
-88.5,-119.5,85.74275
-88.5,-118.5,86.02627
-88.5,-117.5,84.99254
-88.5,-116.5,85.556984
-88.5,-115.5,86.534615
-88.5,-114.5,85.86121
-88.5,-113.5,86.23788
-88.5,-112.5,86.845535
-88.5,-111.5,86.27627
-88.5,-110.5,85.46416
-88.5,-109.5,86.765205
-88.5,-108.5,85.98333
-88.5,-107.5,85.24915
-88.5,-106.5,86.020836
-88.5,-105.5,85.09201
-88.5,-104.5,86.89402
-88.5,-103.5,84.73785
-88.5,-102.5,85.399254
-88.5,-101.5,85.59239
-88.5,-100.5,85.69776
-88.5,-99.5,86.45496
-88.5,-98.5,84.45429
-88.5,-97.5,85.57089
-88.5,-96.5,85.823944
-88.5,-95.5,86.49632
-88.5,-94.5,86.63086
-88.5,-93.5,85.85478
-88.5,-92.5,84.97447
-88.5,-91.5,86.347946
-88.5,-90.5,86.623215
-88.5,-89.5,87.10018
-88.5,-88.5,85.131165
-88.5,-87.5,85.25253
-88.5,-86.5,86.5325
-88.5,-85.5,86.75466
-88.5,-84.5,85.4375
-88.5,-83.5,87.18924
-88.5,-82.5,85.98913
-88.5,-81.5,85.580986
-88.5,-80.5,86.320206
-88.5,-79.5,87.0651
-88.5,-78.5,86.19577
-88.5,-77.5,86.34683
-88.5,-76.5,86.02308
-88.5,-75.5,87.040985
-88.5,-74.5,86.41418
-88.5,-73.5,86.08768
-88.5,-72.5,85.56341
-88.5,-71.5,86.201584
-88.5,-70.5,86.29929
-88.5,-69.5,86.12681
-88.5,-68.5,86.98972
-88.5,-67.5,86.0875
-88.5,-66.5,86.913605
-88.5,-65.5,86.5
-88.5,-64.5,86.99283
-88.5,-63.5,87.59375
-88.5,-62.5,86.561584
-88.5,-61.5,86.70265
-88.5,-60.5,86.60754
-88.5,-59.5,85.50318
-88.5,-58.5,86.76953
-88.5,-57.5,86.73047
-88.5,-56.5,86.02246
-88.5,-55.5,86.87143
-88.5,-54.5,86.694336
-88.5,-53.5,86.35192
-88.5,-52.5,87.10521
-88.5,-51.5,86.49716
-88.5,-50.5,86.49479
-88.5,-49.5,87.10912
-88.5,-48.5,87.143936
-88.5,-47.5,86.57742
-88.5,-46.5,87.497025
-88.5,-45.5,87.47115
-88.5,-44.5,85.913086
-88.5,-43.5,85.71831
-88.5,-42.5,86.69118
-88.5,-41.5,86.1875
-88.5,-40.5,86.697914
-88.5,-39.5,85.09277
-88.5,-38.5,87.003784
-88.5,-37.5,86.64706
-88.5,-36.5,86.0744
-88.5,-35.5,85.85202
-88.5,-34.5,86.40625
-88.5,-33.5,87.67663
-88.5,-32.5,86.85156
-88.5,-31.5,85.45242
-88.5,-30.5,85.957344
-88.5,-29.5,86.72019
-88.5,-28.5,88.03314
-88.5,-27.5,87.0569
-88.5,-26.5,85.15164
-88.5,-25.5,86.71181
-88.5,-24.5,86.17285
-88.5,-23.5,87.08871
-88.5,-22.5,85.969696
-88.5,-21.5,87.52462
-88.5,-20.5,87.50189
-88.5,-19.5,86.47188
-88.5,-18.5,86.97884
-88.5,-17.5,86.219246
-88.5,-16.5,87.01091
-88.5,-15.5,87.823074
-88.5,-14.5,86.66803
-88.5,-13.5,87.19467
-88.5,-12.5,85.80521
-88.5,-11.5,87.5584
-88.5,-10.5,87.203125
-88.5,-9.5,87.18654
-88.5,-8.5,87.5
-88.5,-7.5,86.72222
-88.5,-6.5,87.11719
-88.5,-5.5,86.66875
-88.5,-4.5,86.40121
-88.5,-3.5,87.26136
-88.5,-2.5,86.38877
-88.5,-1.5,86.53223
-88.5,-0.5,85.54095
-88.5,0.5,86.197914
-88.5,1.5,88.521484
-88.5,2.5,87.80085
-88.5,3.5,87.41468
-88.5,4.5,86.41354
-88.5,5.5,85.882935
-88.5,6.5,87.323586
-88.5,7.5,86.22177
-88.5,8.5,86.9043
-88.5,9.5,87.37198
-88.5,10.5,87.79633
-88.5,11.5,87.74204
-88.5,12.5,87.53074
-88.5,13.5,86.98462
-88.5,14.5,88.20104
-88.5,15.5,87.81455
-88.5,16.5,86.38951
-88.5,17.5,87.35275
-88.5,18.5,87.54735
-88.5,19.5,85.2875
-88.5,20.5,86.539314
-88.5,21.5,86.95469
-88.5,22.5,87.97458
-88.5,23.5,88.66071
-88.5,24.5,86.983795
-88.5,25.5,87.559525
-88.5,26.5,87.13832
-88.5,27.5,88.44922
-88.5,28.5,87.54633
-88.5,29.5,87.45703
-88.5,30.5,87.86652
-88.5,31.5,86.4089
-88.5,32.5,86.578125
-88.5,33.5,88.133194
-88.5,34.5,88.53919
-88.5,35.5,87.13021
-88.5,36.5,86.46601
-88.5,37.5,86.49687
-88.5,38.5,87.655205
