lat,lon,GLDAS_NOAH10_M_2_1_Rainf_f_tavg
-39.5,-66.5,1.159366E-5
-39.5,-65.5,1.26535015E-5
-39.5,-64.5,1.4738102E-5
-39.5,-63.5,1.7033191E-5
-39.5,-62.5,1.9657375E-5
-39.5,174.5,4.494418E-5
-39.5,175.5,4.3125998E-5
-39.5,176.5,4.8558573E-5
-38.5,-72.5,2.9043418E-5
-38.5,-71.5,2.1834712E-5
-38.5,-70.5,1.9290886E-5
-38.5,-69.5,1.9901301E-5
-38.5,-68.5,1.7337363E-5
-38.5,-67.5,1.5137518E-5
-38.5,-66.5,1.3605005E-5
-38.5,-65.5,1.49022835E-5
-38.5,-64.5,1.7905671E-5
-38.5,-63.5,2.0301444E-5
-38.5,-62.5,2.3508426E-5
-38.5,-61.5,2.5928084E-5
-38.5,-60.5,2.8562981E-5
-38.5,-59.5,3.1318676E-5
-38.5,-58.5,3.3053326E-5
-38.5,143.5,2.2567936E-5
-38.5,145.5,2.8612985E-5
-38.5,146.5,3.1152693E-5
-38.5,175.5,4.3481592E-5
-38.5,176.5,4.29097E-5
-38.5,177.5,4.391029E-5
-37.5,-73.5,2.6325011E-5
-37.5,-72.5,2.3942635E-5
-37.5,-71.5,2.1931111E-5
-37.5,-70.5,1.5204018E-5
-37.5,-69.5,1.952548E-5
-37.5,-68.5,1.8547107E-5
-37.5,-67.5,1.6671253E-5
-37.5,-66.5,1.667335E-5
-37.5,-65.5,1.8347206E-5
-37.5,-64.5,2.1438316E-5
-37.5,-63.5,2.3453451E-5
-37.5,-62.5,2.5988795E-5
-37.5,-61.5,2.8116148E-5
-37.5,-60.5,3.0735293E-5
-37.5,-59.5,3.304482E-5
-37.5,-58.5,3.4001274E-5
-37.5,-57.5,3.6719208E-5
-37.5,140.5,1.8678971E-5
-37.5,141.5,1.8173936E-5
-37.5,142.5,1.899574E-5
-37.5,143.5,1.9260118E-5
-37.5,144.5,2.2674116E-5
-37.5,145.5,2.6079191E-5
-37.5,146.5,2.7653025E-5
-37.5,147.5,3.0951654E-5
-37.5,148.5,3.293818E-5
-37.5,149.5,3.1947944E-5
-37.5,175.5,4.189636E-5
-36.5,-72.5,2.1460643E-5
-36.5,-71.5,2.2917011E-5
-36.5,-70.5,1.44127425E-5
-36.5,-69.5,1.91532E-5
-36.5,-68.5,2.1427972E-5
-36.5,-67.5,1.9048432E-5
-36.5,-66.5,1.8714592E-5
-36.5,-65.5,2.0578966E-5
-36.5,-64.5,2.384212E-5
-36.5,-63.5,2.7020316E-5
-36.5,-62.5,2.8607883E-5
-36.5,-61.5,3.0319881E-5
-36.5,-60.5,3.215197E-5
-36.5,-59.5,3.3261396E-5
-36.5,-58.5,3.3943357E-5
-36.5,-57.5,3.484099E-5
-36.5,140.5,1.6492104E-5
-36.5,141.5,1.6325273E-5
-36.5,142.5,1.642751E-5
-36.5,143.5,1.5237949E-5
-36.5,144.5,1.7569273E-5
-36.5,145.5,2.0318084E-5
-36.5,146.5,2.3555718E-5
-36.5,147.5,2.4221536E-5
-36.5,148.5,2.8723263E-5
-36.5,149.5,3.1492633E-5
-36.5,174.5,3.808074E-5
-35.5,-71.5,1.8530818E-5
-35.5,-70.5,1.7574062E-5
-35.5,-69.5,1.4104608E-5
-35.5,-68.5,1.5424721E-5
-35.5,-67.5,1.6904054E-5
-35.5,-66.5,1.906527E-5
-35.5,-65.5,2.2936802E-5
-35.5,-64.5,2.5610854E-5
-35.5,-63.5,2.8023353E-5
-35.5,-62.5,3.0553318E-5
-35.5,-61.5,3.27875E-5
-35.5,-60.5,3.4810084E-5
-35.5,-59.5,3.6643858E-5
-35.5,-58.5,3.7010563E-5
-35.5,-57.5,3.8720616E-5
-35.5,139.5,1.5145451E-5
-35.5,140.5,1.3667316E-5
-35.5,141.5,1.2715298E-5
-35.5,142.5,1.3341186E-5
-35.5,143.5,1.3733513E-5
-35.5,144.5,1.52096145E-5
-35.5,145.5,1.7932707E-5
-35.5,146.5,2.0810487E-5
-35.5,147.5,2.2172659E-5
-35.5,148.5,2.2783644E-5
-35.5,149.5,2.6402662E-5
-35.5,173.5,3.567597E-5
-34.5,-71.5,1.2692336E-5
-34.5,-70.5,2.094635E-5
-34.5,-69.5,1.3948428E-5
-34.5,-68.5,1.3765935E-5
-34.5,-67.5,1.6891407E-5
-34.5,-66.5,1.9737172E-5
-34.5,-65.5,2.3015238E-5
-34.5,-64.5,2.5334823E-5
-34.5,-63.5,2.876095E-5
-34.5,-62.5,3.152263E-5
-34.5,-61.5,3.3169777E-5
-34.5,-60.5,3.6155652E-5
-34.5,-59.5,3.9128998E-5
-34.5,-58.5,4.1041825E-5
-34.5,-56.5,4.1690324E-5
-34.5,-55.5,4.3691773E-5
-34.5,-54.5,4.4523465E-5
-34.5,19.5,1.4185439E-5
-34.5,20.5,1.3898558E-5
-34.5,116.5,2.274903E-5
-34.5,117.5,1.9154264E-5
-34.5,118.5,1.6893538E-5
-34.5,135.5,1.3028352E-5
-34.5,138.5,1.2075735E-5
-34.5,139.5,1.2320608E-5
-34.5,140.5,1.1033604E-5
-34.5,141.5,1.0273979E-5
-34.5,142.5,1.11112695E-5
-34.5,143.5,1.1263607E-5
-34.5,144.5,1.3047979E-5
-34.5,145.5,1.4458478E-5
-34.5,146.5,1.640909E-5
-34.5,147.5,1.8683586E-5
-34.5,148.5,2.1458089E-5
-34.5,149.5,2.2712986E-5
-34.5,150.5,2.7400492E-5
-33.5,-71.5,9.237503E-6
-33.5,-70.5,1.550504E-5
-33.5,-69.5,1.4680826E-5
-33.5,-68.5,1.0679106E-5
-33.5,-67.5,1.4754073E-5
-33.5,-66.5,1.9788748E-5
-33.5,-65.5,2.376544E-5
-33.5,-64.5,2.6795635E-5
-33.5,-63.5,2.925966E-5
-33.5,-62.5,3.0883315E-5
-33.5,-61.5,3.3020653E-5
-33.5,-60.5,3.6038193E-5
-33.5,-59.5,4.0033967E-5
-33.5,-58.5,4.304189E-5
-33.5,-57.5,4.4606255E-5
-33.5,-56.5,4.4831155E-5
-33.5,-55.5,4.6688438E-5
-33.5,-54.5,4.749379E-5
-33.5,-53.5,4.833982E-5
-33.5,18.5,1.2438604E-5
-33.5,19.5,1.2171981E-5
-33.5,20.5,1.1361714E-5
-33.5,21.5,1.1951602E-5
-33.5,22.5,1.2320939E-5
-33.5,23.5,1.3244926E-5
-33.5,24.5,1.5043091E-5
-33.5,25.5,1.6119013E-5
-33.5,26.5,1.8024944E-5
-33.5,115.5,2.120362E-5
-33.5,116.5,2.2247263E-5
-33.5,117.5,1.7986136E-5
-33.5,118.5,1.4771833E-5
-33.5,119.5,1.3377253E-5
-33.5,120.5,1.434417E-5
-33.5,121.5,1.41109895E-5
-33.5,122.5,1.4657049E-5
-33.5,123.5,1.47307965E-5
-33.5,135.5,1.0748538E-5
-33.5,136.5,1.0469993E-5
-33.5,138.5,1.0157556E-5
-33.5,139.5,9.612773E-6
-33.5,140.5,8.602988E-6
-33.5,141.5,8.52489E-6
-33.5,142.5,1.0001943E-5
-33.5,143.5,1.0315951E-5
-33.5,144.5,1.0836355E-5
-33.5,145.5,1.2714013E-5
-33.5,146.5,1.3675691E-5
-33.5,147.5,1.6174508E-5
-33.5,148.5,1.92779E-5
-33.5,149.5,2.212507E-5
-33.5,150.5,2.642306E-5
-32.5,-70.5,1.1822148E-5
-32.5,-69.5,1.0110785E-5
-32.5,-68.5,1.0169833E-5
-32.5,-67.5,1.2293854E-5
-32.5,-66.5,1.6308111E-5
-32.5,-65.5,2.0591042E-5
-32.5,-64.5,2.5253798E-5
-32.5,-63.5,2.7801332E-5
-32.5,-62.5,3.0633237E-5
-32.5,-61.5,3.361347E-5
-32.5,-60.5,3.7041802E-5
-32.5,-59.5,4.1153282E-5
-32.5,-58.5,4.4648787E-5
-32.5,-57.5,4.7020505E-5
-32.5,-56.5,4.7898033E-5
-32.5,-55.5,4.9257553E-5
-32.5,-54.5,5.086676E-5
-32.5,-53.5,5.115265E-5
-32.5,-52.5,5.0377686E-5
-32.5,18.5,8.774446E-6
-32.5,19.5,8.857045E-6
-32.5,20.5,8.351918E-6
-32.5,21.5,1.0016219E-5
-32.5,22.5,1.1126946E-5
-32.5,23.5,1.24834605E-5
-32.5,24.5,1.47664705E-5
-32.5,25.5,1.7468195E-5
-32.5,26.5,2.0292164E-5
-32.5,27.5,2.3605318E-5
-32.5,28.5,2.4960042E-5
-32.5,116.5,1.864105E-5
-32.5,117.5,1.5528656E-5
-32.5,118.5,1.2955986E-5
-32.5,119.5,1.1324593E-5
-32.5,120.5,1.206721E-5
-32.5,121.5,1.1938724E-5
-32.5,122.5,1.2921886E-5
-32.5,123.5,1.2897812E-5
-32.5,124.5,1.3610123E-5
-32.5,125.5,1.346248E-5
-32.5,134.5,9.296288E-6
-32.5,135.5,8.938467E-6
-32.5,136.5,8.507488E-6
-32.5,137.5,8.615792E-6
-32.5,138.5,8.308854E-6
-32.5,139.5,8.286241E-6
-32.5,140.5,7.775832E-6
-32.5,141.5,7.5636326E-6
-32.5,142.5,9.047627E-6
-32.5,143.5,9.744987E-6
-32.5,144.5,9.881159E-6
-32.5,145.5,1.1205167E-5
-32.5,146.5,1.2935631E-5
-32.5,147.5,1.4755274E-5
-32.5,148.5,1.7715793E-5
-32.5,149.5,2.1284657E-5
-32.5,150.5,2.4647035E-5
-32.5,151.5,2.851033E-5
-31.5,-71.5,6.0106645E-6
-31.5,-70.5,9.06448E-6
-31.5,-69.5,7.5350476E-6
-31.5,-68.5,8.611316E-6
-31.5,-67.5,1.0253513E-5
-31.5,-66.5,1.61938E-5
-31.5,-65.5,1.9157424E-5
-31.5,-64.5,2.385215E-5
-31.5,-63.5,2.7082011E-5
-31.5,-62.5,2.9983206E-5
-31.5,-61.5,3.3938097E-5
-31.5,-60.5,3.8983828E-5
-31.5,-59.5,4.4206798E-5
-31.5,-58.5,4.707215E-5
-31.5,-57.5,4.898902E-5
-31.5,-56.5,5.050588E-5
-31.5,-55.5,5.222466E-5
-31.5,-54.5,5.301256E-5
-31.5,-53.5,5.3742024E-5
-31.5,-52.5,5.3540658E-5
-31.5,18.5,5.3818135E-6
-31.5,19.5,5.9026665E-6
-31.5,20.5,5.798741E-6
-31.5,21.5,6.5914483E-6
-31.5,22.5,8.17382E-6
-31.5,23.5,1.02585855E-5
-31.5,24.5,1.2801646E-5
-31.5,25.5,1.6050326E-5
-31.5,26.5,1.8945373E-5
-31.5,27.5,2.369112E-5
-31.5,28.5,2.8389946E-5
-31.5,29.5,3.087299E-5
-31.5,116.5,1.5855054E-5
-31.5,117.5,1.3298942E-5
-31.5,118.5,1.0463762E-5
-31.5,119.5,9.6269505E-6
-31.5,120.5,1.02243785E-5
-31.5,121.5,1.0087184E-5
-31.5,122.5,1.1126818E-5
-31.5,123.5,1.0958137E-5
-31.5,124.5,1.1835826E-5
-31.5,125.5,1.1976888E-5
-31.5,126.5,1.1377233E-5
-31.5,127.5,1.1719686E-5
-31.5,128.5,1.1283641E-5
-31.5,129.5,1.10439505E-5
-31.5,130.5,1.1346642E-5
-31.5,131.5,1.0287458E-5
