Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
3220579,MALARIA_PRES_CASES,COUNTRY,MYT,AFR,Africa,YEAR,2023,,,,,,,,,0,0,,,,2024-12-10T17:44:48Z,2023,2023-01-01,2023-12-31
108805,MALARIA_PRES_CASES,COUNTRY,CHN,WPR,Western Pacific,YEAR,2018,,,,,,,,,0,0,,,,2024-12-10T17:44:48Z,2018,2018-01-01,2018-12-31
7035335,MALARIA_PRES_CASES,COUNTRY,HND,AMR,Americas,YEAR,2021,,,,,,,,,0,0,,,,2024-12-10T17:44:48Z,2021,2021-01-01,2021-12-31
8844751,MALARIA_PRES_CASES,COUNTRY,STP,AFR,Africa,YEAR,2021,,,,,,,,,0,0,,,,2024-12-10T17:44:48Z,2021,2021-01-01,2021-12-31
453546,MALARIA_PRES_CASES,COUNTRY,AGO,AFR,Africa,YEAR,2017,,,,,,,,,625 329,625329,,,,2024-12-10T17:44:48Z,2017,2017-01-01,2017-12-31
7640333,MALARIA_PRES_CASES,COUNTRY,COD,AFR,Africa,YEAR,2018,,,,,,,,,1 236 233,1236233,,,,2024-12-10T17:44:48Z,2018,2018-01-01,2018-12-31
1193124,MALARIA_PRES_CASES,REGION,EUR,,,YEAR,2015,,,,,,,,,0,0,,,,2024-12-10T17:44:48Z,2015,2015-01-01,2015-12-31
181921,MALARIA_PRES_CASES,COUNTRY,IRN,EMR,Eastern Mediterranean,YEAR,2016,,,,,,,,,0,0,,,,2024-12-10T17:44:48Z,2016,2016-01-01,2016-12-31
599711,MALARIA_PRES_CASES,COUNTRY,MYS,WPR,Western Pacific,YEAR,2017,,,,,,,,,0,0,,,,2024-12-10T17:44:48Z,2017,2017-01-01,2017-12-31
4676541,MALARIA_PRES_CASES,COUNTRY,DOM,AMR,Americas,YEAR,2022,,,,,,,,,0,0,,,,2024-12-10T17:44:48Z,2022,2022-01-01,2022-12-31
8573226,MALARIA_PRES_CASES,COUNTRY,NAM,AFR,Africa,YEAR,2020,,,,,,,,,0,0,,,,2024-12-10T17:44:48Z,2020,2020-01-01,2020-12-31
579903,MALARIA_PRES_CASES,COUNTRY,MRT,AFR,Africa,YEAR,2023,,,,,,,,,76 991,76991,,,,2024-12-10T17:44:48Z,2023,2023-01-01,2023-12-31
7495015,MALARIA_PRES_CASES,COUNTRY,MWI,AFR,Africa,YEAR,2022,,,,,,,,,24 907,24907,,,,2024-12-10T17:44:48Z,2022,2022-01-01,2022-12-31
9224708,MALARIA_PRES_CASES,COUNTRY,BRA,AMR,Americas,YEAR,2022,,,,,,,,,0,0,,,,2024-12-10T17:44:48Z,2022,2022-01-01,2022-12-31
7967106,MALARIA_PRES_CASES,COUNTRY,GIN,AFR,Africa,YEAR,2023,,,,,,,,,32 566,32566,,,,2024-12-10T17:44:48Z,2023,2023-01-01,2023-12-31
3487308,MALARIA_PRES_CASES,COUNTRY,AGO,AFR,Africa,YEAR,2021,,,,,,,,,843 346,843346,,,,2024-12-10T17:44:48Z,2021,2021-01-01,2021-12-31
2613329,MALARIA_PRES_CASES,COUNTRY,PAN,AMR,Americas,YEAR,2015,,,,,,,,,0,0,,,,2024-12-10T17:44:48Z,2015,2015-01-01,2015-12-31
7773969,MALARIA_PRES_CASES,COUNTRY,PER,AMR,Americas,YEAR,2015,,,,,,,,,0,0,,,,2024-12-10T17:44:48Z,2015,2015-01-01,2015-12-31
6909655,MALARIA_PRES_CASES,COUNTRY,BEN,AFR,Africa,YEAR,2023,,,,,,,,,31 998,31998,,,,2024-12-10T17:44:48Z,2023,2023-01-01,2023-12-31
135266,MALARIA_PRES_CASES,COUNTRY,TUR,EUR,Europe,YEAR,2016,,,,,,,,,0,0,,,,2024-12-10T17:44:48Z,2016,2016-01-01,2016-12-31
