Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
7953207,MALARIA_PV_INDIG,COUNTRY,PRY,AMR,Americas,YEAR,2015,,,,,,,,,0,0,,,,2024-12-10T17:44:48Z,2015,2015-01-01,2015-12-31
3146623,MALARIA_PV_INDIG,COUNTRY,CHN,WPR,Western Pacific,YEAR,2017,,,,,,,,,0,0,,,,2024-12-10T17:44:48Z,2017,2017-01-01,2017-12-31
1412750,MALARIA_PV_INDIG,COUNTRY,TJK,EUR,Europe,YEAR,2023,,,,,,,,,0,0,,,,2024-12-10T17:44:48Z,2023,2023-01-01,2023-12-31
7893601,MALARIA_PV_INDIG,COUNTRY,LKA,SEAR,South-East Asia,YEAR,2015,,,,,,,,,0,0,,,,2024-12-10T17:44:48Z,2015,2015-01-01,2015-12-31
8159680,MALARIA_PV_INDIG,COUNTRY,HND,AMR,Americas,YEAR,2018,,,,,,,,,576,576,,,,2024-12-10T17:44:48Z,2018,2018-01-01,2018-12-31
6582404,MALARIA_PV_INDIG,COUNTRY,MDG,AFR,Africa,YEAR,2017,,,,,,,,,5,5,,,,2024-12-10T17:44:48Z,2017,2017-01-01,2017-12-31
214922,MALARIA_PV_INDIG,COUNTRY,SUR,AMR,Americas,YEAR,2023,,,,,,,,,0,0,,,,2024-12-10T17:44:48Z,2023,2023-01-01,2023-12-31
2759994,MALARIA_PV_INDIG,COUNTRY,SDN,EMR,Eastern Mediterranean,YEAR,2021,,,,,,,,,175 590,175590,,,,2024-12-10T17:44:48Z,2021,2021-01-01,2021-12-31
6202664,MALARIA_PV_INDIG,COUNTRY,ERI,AFR,Africa,YEAR,2021,,,,,,,,,5613,5613,,,,2024-12-10T17:44:48Z,2021,2021-01-01,2021-12-31
2012913,MALARIA_PV_INDIG,COUNTRY,DJI,EMR,Eastern Mediterranean,YEAR,2022,,,,,,,,,9858,9858,,,,2024-12-10T17:44:48Z,2022,2022-01-01,2022-12-31
2726576,MALARIA_PV_INDIG,COUNTRY,HND,AMR,Americas,YEAR,2023,,,,,,,,,2021,2021,,,,2024-12-10T17:44:48Z,2023,2023-01-01,2023-12-31
1639888,MALARIA_PV_INDIG,COUNTRY,MYS,WPR,Western Pacific,YEAR,2022,,,,,,,,,0,0,,,,2024-12-10T17:44:48Z,2022,2022-01-01,2022-12-31
6868979,MALARIA_PV_INDIG,COUNTRY,VUT,WPR,Western Pacific,YEAR,2017,,,,,,,,,798,798,,,,2024-12-10T17:44:48Z,2017,2017-01-01,2017-12-31
9037405,MALARIA_PV_INDIG,COUNTRY,BRA,AMR,Americas,YEAR,2020,,,,,,,,,119 911,119911,,,,2024-12-10T17:44:48Z,2020,2020-01-01,2020-12-31
9077450,MALARIA_PV_INDIG,COUNTRY,BTN,SEAR,South-East Asia,YEAR,2020,,,,,,,,,22,22,,,,2024-12-10T17:44:48Z,2020,2020-01-01,2020-12-31
7407716,MALARIA_PV_INDIG,COUNTRY,DJI,EMR,Eastern Mediterranean,YEAR,2019,,,,,,,,,13 377,13377,,,,2024-12-10T17:44:48Z,2019,2019-01-01,2019-12-31
