Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
3285734,MALARIA_PF_INDIG,COUNTRY,GUF,AMR,Americas,YEAR,2019,,,,,,,,,17,17,,,,2024-12-10T17:44:48Z,2019,2019-01-01,2019-12-31
8405025,MALARIA_PF_INDIG,COUNTRY,LBR,AFR,Africa,YEAR,2021,,,,,,,,,912 436,912436,,,,2024-12-10T17:44:48Z,2021,2021-01-01,2021-12-31
578316,MALARIA_PF_INDIG,COUNTRY,TGO,AFR,Africa,YEAR,2019,,,,,,,,,2 402 967,2402967,,,,2024-12-10T17:44:48Z,2019,2019-01-01,2019-12-31
938290,MALARIA_PF_INDIG,COUNTRY,CIV,AFR,Africa,YEAR,2018,,,,,,,,,4 766 477,4766477,,,,2024-12-10T17:44:48Z,2018,2018-01-01,2018-12-31
146964,MALARIA_PF_INDIG,COUNTRY,NER,AFR,Africa,YEAR,2022,,,,,,,,,5 166 412,5166412,,,,2024-12-10T17:44:48Z,2022,2022-01-01,2022-12-31
9450000,MALARIA_PF_INDIG,COUNTRY,BGD,SEAR,South-East Asia,YEAR,2020,,,,,,,,,4744,4744,,,,2024-12-10T17:44:48Z,2020,2020-01-01,2020-12-31
1972191,MALARIA_PF_INDIG,REGION,WPR,,,YEAR,2017,,,,,,,,,209 464,209464,,,,2024-12-10T17:44:48Z,2017,2017-01-01,2017-12-31
2985271,MALARIA_PF_INDIG,COUNTRY,BGD,SEAR,South-East Asia,YEAR,2016,,,,,,,,,17 269,17269,,,,2024-12-10T17:44:48Z,2016,2016-01-01,2016-12-31
6821602,MALARIA_PF_INDIG,COUNTRY,SUR,AMR,Americas,YEAR,2017,,,,,,,,,33,33,,,,2024-12-10T17:44:48Z,2017,2017-01-01,2017-12-31
5594180,MALARIA_PF_INDIG,COUNTRY,LKA,SEAR,South-East Asia,YEAR,2023,,,,,,,,,0,0,,,,2024-12-10T17:44:48Z,2023,2023-01-01,2023-12-31
2745567,MALARIA_PF_INDIG,COUNTRY,ERI,AFR,Africa,YEAR,2023,,,,,,,,,78 840,78840,,,,2024-12-10T17:44:48Z,2023,2023-01-01,2023-12-31
1398655,MALARIA_PF_INDIG,COUNTRY,COL,AMR,Americas,YEAR,2020,,,,,,,,,39 879,39879,,,,2024-12-10T17:44:48Z,2020,2020-01-01,2020-12-31
7346729,MALARIA_PF_INDIG,COUNTRY,SLE,AFR,Africa,YEAR,2016,,,,,,,,,1 775 306,1775306,,,,2024-12-10T17:44:48Z,2016,2016-01-01,2016-12-31
9063050,MALARIA_PF_INDIG,COUNTRY,MWI,AFR,Africa,YEAR,2018,,,,,,,,,5 865 476,5865476,,,,2024-12-10T17:44:48Z,2018,2018-01-01,2018-12-31
7779141,MALARIA_PF_INDIG,COUNTRY,BEN,AFR,Africa,YEAR,2019,,,,,,,,,2 895 878,2895878,,,,2024-12-10T17:44:48Z,2019,2019-01-01,2019-12-31
