Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
8969302,MALARIA_IMPORTED,COUNTRY,TUR,EUR,Europe,YEAR,2016,,,,,,,,,208,208,,,,2024-12-10T17:44:48Z,2016,2016-01-01,2016-12-31
8876028,MALARIA_IMPORTED,COUNTRY,SAU,EMR,Eastern Mediterranean,YEAR,2022,,,,,,,,,4045,4045,,,,2024-12-10T17:44:48Z,2022,2022-01-01,2022-12-31
6420792,MALARIA_IMPORTED,COUNTRY,VNM,WPR,Western Pacific,YEAR,2021,,,,,,,,,90,90,,,,2024-12-10T17:44:48Z,2021,2021-01-01,2021-12-31
8451118,MALARIA_IMPORTED,COUNTRY,TZA,AFR,Africa,YEAR,2020,,,,,,,,,4314,4314,,,,2024-12-10T17:44:48Z,2020,2020-01-01,2020-12-31
1891518,MALARIA_IMPORTED,COUNTRY,BWA,AFR,Africa,YEAR,2023,,,,,,,,,91,91,,,,2024-12-10T17:44:48Z,2023,2023-01-01,2023-12-31
1471244,MALARIA_IMPORTED,COUNTRY,GUF,AMR,Americas,YEAR,2020,,,,,,,,,14,14,,,,2024-12-10T17:44:48Z,2020,2020-01-01,2020-12-31
4901206,MALARIA_IMPORTED,COUNTRY,CRI,AMR,Americas,YEAR,2015,,,,,,,,,8,8,,,,2024-12-10T17:44:48Z,2015,2015-01-01,2015-12-31
777545,MALARIA_IMPORTED,COUNTRY,NIC,AMR,Americas,YEAR,2019,,,,,,,,,26,26,,,,2024-12-10T17:44:48Z,2019,2019-01-01,2019-12-31
6080974,MALARIA_IMPORTED,COUNTRY,NIC,AMR,Americas,YEAR,2022,,,,,,,,,50,50,,,,2024-12-10T17:44:48Z,2022,2022-01-01,2022-12-31
7805310,MALARIA_IMPORTED,COUNTRY,TZA,AFR,Africa,YEAR,2015,,,,,,,,,2550,2550,,,,2024-12-10T17:44:48Z,2015,2015-01-01,2015-12-31
3238486,MALARIA_IMPORTED,COUNTRY,NAM,AFR,Africa,YEAR,2018,,,,,,,,,4021,4021,,,,2024-12-10T17:44:48Z,2018,2018-01-01,2018-12-31
577910,MALARIA_IMPORTED,COUNTRY,BRA,AMR,Americas,YEAR,2021,,,,,,,,,1365,1365,,,,2024-12-10T17:44:48Z,2021,2021-01-01,2021-12-31
9589583,MALARIA_IMPORTED,COUNTRY,VEN,AMR,Americas,YEAR,2017,,,,,,,,,2941,2941,,,,2024-12-10T17:44:48Z,2017,2017-01-01,2017-12-31
2811719,MALARIA_IMPORTED,COUNTRY,AZE,EUR,Europe,YEAR,2021,,,,,,,,,1,1,,,,2024-12-10T17:44:48Z,2021,2021-01-01,2021-12-31
2124842,MALARIA_IMPORTED,COUNTRY,STP,AFR,Africa,YEAR,2017,,,,,,,,,2,2,,,,2024-12-10T17:44:48Z,2017,2017-01-01,2017-12-31
2311093,MALARIA_IMPORTED,COUNTRY,STP,AFR,Africa,YEAR,2018,,,,,,,,,3,3,,,,2024-12-10T17:44:48Z,2018,2018-01-01,2018-12-31
4894669,MALARIA_IMPORTED,COUNTRY,BGD,SEAR,South-East Asia,YEAR,2021,,,,,,,,,6,6,,,,2024-12-10T17:44:48Z,2021,2021-01-01,2021-12-31
6999,MALARIA_IMPORTED,COUNTRY,LAO,WPR,Western Pacific,YEAR,2018,,,,,,,,,0,0,,,,2024-12-10T17:44:48Z,2018,2018-01-01,2018-12-31
3926063,MALARIA_IMPORTED,COUNTRY,LKA,SEAR,South-East Asia,YEAR,2020,,,,,,,,,30,30,,,,2024-12-10T17:44:48Z,2020,2020-01-01,2020-12-31
1524835,MALARIA_IMPORTED,COUNTRY,KGZ,EUR,Europe,YEAR,2019,,,,,,,,,1,1,,,,2024-12-10T17:44:48Z,2019,2019-01-01,2019-12-31
2291040,MALARIA_IMPORTED,COUNTRY,TJK,EUR,Europe,YEAR,2015,,,,,,,,,4,4,,,,2024-12-10T17:44:48Z,2015,2015-01-01,2015-12-31
1905087,MALARIA_IMPORTED,COUNTRY,CPV,AFR,Africa,YEAR,2017,,,,,,,,,23,23,,,,2024-12-10T17:44:48Z,2017,2017-01-01,2017-12-31
3819227,MALARIA_IMPORTED,COUNTRY,COM,AFR,Africa,YEAR,2023,,,,,,,,,30,30,,,,2024-12-10T17:44:48Z,2023,2023-01-01,2023-12-31
8484740,MALARIA_IMPORTED,COUNTRY,AZE,EUR,Europe,YEAR,2017,,,,,,,,,1,1,,,,2024-12-10T17:44:48Z,2017,2017-01-01,2017-12-31
