Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
7400880,MALARIA_TOTAL_CASES,COUNTRY,VNM,WPR,Western Pacific,YEAR,2015,,,,,,,,,19 252,19252,,,,2024-12-10T17:44:48Z,2015,2015-01-01,2015-12-31
7626712,MALARIA_TOTAL_CASES,COUNTRY,KOR,WPR,Western Pacific,YEAR,2015,,,,,,,,,692,692,,,,2024-12-10T17:44:48Z,2015,2015-01-01,2015-12-31
9344371,MALARIA_TOTAL_CASES,COUNTRY,KEN,AFR,Africa,YEAR,2023,,,,,,,,,6 819 382,6819382,,,,2024-12-10T17:44:48Z,2023,2023-01-01,2023-12-31
3566992,MALARIA_TOTAL_CASES,COUNTRY,SUR,AMR,Americas,YEAR,2015,,,,,,,,,376,376,,,,2024-12-10T17:44:48Z,2015,2015-01-01,2015-12-31
4616013,MALARIA_TOTAL_CASES,COUNTRY,SSD,AFR,Africa,YEAR,2015,,,,,,,,,3 789 475,3789475,,,,2024-12-10T17:44:48Z,2015,2015-01-01,2015-12-31
6329078,MALARIA_TOTAL_CASES,COUNTRY,CPV,AFR,Africa,YEAR,2021,,,,,,,,,21,21,,,,2024-12-10T17:44:48Z,2021,2021-01-01,2021-12-31
8186127,MALARIA_TOTAL_CASES,COUNTRY,UZB,EUR,Europe,YEAR,2016,,,,,,,,,0,0,,,,2024-12-10T17:44:48Z,2016,2016-01-01,2016-12-31
8259483,MALARIA_TOTAL_CASES,COUNTRY,TZA,AFR,Africa,YEAR,2015,,,,,,,,,8 406 354,8406354,,,,2024-12-10T17:44:48Z,2015,2015-01-01,2015-12-31
3753953,MALARIA_TOTAL_CASES,COUNTRY,PRY,AMR,Americas,YEAR,2023,,,,,,,,,0,0,,,,2024-12-10T17:44:48Z,2023,2023-01-01,2023-12-31
5522001,MALARIA_TOTAL_CASES,COUNTRY,HND,AMR,Americas,YEAR,2020,,,,,,,,,913,913,,,,2024-12-10T17:44:48Z,2020,2020-01-01,2020-12-31
1132529,MALARIA_TOTAL_CASES,COUNTRY,RWA,AFR,Africa,YEAR,2020,,,,,,,,,2 043 392,2043392,,,,2024-12-10T17:44:48Z,2020,2020-01-01,2020-12-31
8539333,MALARIA_TOTAL_CASES,COUNTRY,BWA,AFR,Africa,YEAR,2018,,,,,,,,,585,585,,,,2024-12-10T17:44:48Z,2018,2018-01-01,2018-12-31
8791158,MALARIA_TOTAL_CASES,COUNTRY,LKA,SEAR,South-East Asia,YEAR,2018,,,,,,,,,52,52,,,,2024-12-10T17:44:48Z,2018,2018-01-01,2018-12-31
2086291,MALARIA_TOTAL_CASES,COUNTRY,ARG,AMR,Americas,YEAR,2018,,,,,,,,,28,28,,,,2024-12-10T17:44:48Z,2018,2018-01-01,2018-12-31
6122702,MALARIA_TOTAL_CASES,COUNTRY,PRY,AMR,Americas,YEAR,2019,,,,,,,,,2,2,,,,2024-12-10T17:44:48Z,2019,2019-01-01,2019-12-31
9564382,MALARIA_TOTAL_CASES,COUNTRY,AFG,EMR,Eastern Mediterranean,YEAR,2023,,,,,,,,,180 718,180718,,,,2024-12-10T17:44:48Z,2023,2023-01-01,2023-12-31
3927520,MALARIA_TOTAL_CASES,REGION,AMR,,,YEAR,2021,,,,,,,,,524 015,524015,,,,2024-12-10T17:44:48Z,2021,2021-01-01,2021-12-31
2532621,MALARIA_TOTAL_CASES,COUNTRY,SLE,AFR,Africa,YEAR,2022,,,,,,,,,1 862 886,1862886,,,,2024-12-10T17:44:48Z,2022,2022-01-01,2022-12-31
8219529,MALARIA_TOTAL_CASES,COUNTRY,ETH,AFR,Africa,YEAR,2022,,,,,,,,,1 837 213,1837213,,,,2024-12-10T17:44:48Z,2022,2022-01-01,2022-12-31
4829439,MALARIA_TOTAL_CASES,REGION,EUR,,,YEAR,2020,,,,,,,,,144,144,,,,2024-12-10T17:44:48Z,2020,2020-01-01,2020-12-31
8559471,MALARIA_TOTAL_CASES,COUNTRY,NIC,AMR,Americas,YEAR,2017,,,,,,,,,10 952,10952,,,,2024-12-10T17:44:48Z,2017,2017-01-01,2017-12-31
9337823,MALARIA_TOTAL_CASES,COUNTRY,ECU,AMR,Americas,YEAR,2016,,,,,,,,,1424,1424,,,,2024-12-10T17:44:48Z,2016,2016-01-01,2016-12-31
939502,MALARIA_TOTAL_CASES,COUNTRY,ERI,AFR,Africa,YEAR,2019,,,,,,,,,93 878,93878,,,,2024-12-10T17:44:48Z,2019,2019-01-01,2019-12-31
6988947,MALARIA_TOTAL_CASES,COUNTRY,TZA,AFR,Africa,YEAR,2021,,,,,,,,,4 632 180,4632180,,,,2024-12-10T17:44:48Z,2021,2021-01-01,2021-12-31
7560118,MALARIA_TOTAL_CASES,COUNTRY,COL,AMR,Americas,YEAR,2019,,,,,,,,,82 721,82721,,,,2024-12-10T17:44:48Z,2019,2019-01-01,2019-12-31
4369820,MALARIA_TOTAL_CASES,COUNTRY,CAF,AFR,Africa,YEAR,2020,,,,,,,,,1 980 804,1980804,,,,2024-12-10T17:44:48Z,2020,2020-01-01,2020-12-31
4722913,MALARIA_TOTAL_CASES,COUNTRY,NGA,AFR,Africa,YEAR,2020,,,,,,,,,21 580 055,21580055,,,,2024-12-10T17:44:48Z,2020,2020-01-01,2020-12-31
6802736,MALARIA_TOTAL_CASES,COUNTRY,ETH,AFR,Africa,YEAR,2019,,,,,,,,,1 015 792,1015792,,,,2024-12-10T17:44:48Z,2019,2019-01-01,2019-12-31
6675852,MALARIA_TOTAL_CASES,COUNTRY,GNQ,AFR,Africa,YEAR,2018,,,,,,,,,10 926,10926,,,,2024-12-10T17:44:48Z,2018,2018-01-01,2018-12-31
4303206,MALARIA_TOTAL_CASES,COUNTRY,SEN,AFR,Africa,YEAR,2023,,,,,,,,,232 465,232465,,,,2024-12-10T17:44:48Z,2023,2023-01-01,2023-12-31
1393188,MALARIA_TOTAL_CASES,COUNTRY,IND,SEAR,South-East Asia,YEAR,2017,,,,,,,,,844 558,844558,,,,2024-12-10T17:44:48Z,2017,2017-01-01,2017-12-31
8266371,MALARIA_TOTAL_CASES,COUNTRY,PER,AMR,Americas,YEAR,2017,,,,,,,,,55 367,55367,,,,2024-12-10T17:44:48Z,2017,2017-01-01,2017-12-31
4233577,MALARIA_TOTAL_CASES,COUNTRY,NAM,AFR,Africa,YEAR,2021,,,,,,,,,13 738,13738,,,,2024-12-10T17:44:48Z,2021,2021-01-01,2021-12-31
1413005,MALARIA_TOTAL_CASES,COUNTRY,DZA,AFR,Africa,YEAR,2016,,,,,,,,,432,432,,,,2024-12-10T17:44:48Z,2016,2016-01-01,2016-12-31
8273046,MALARIA_TOTAL_CASES,COUNTRY,SOM,EMR,Eastern Mediterranean,YEAR,2021,,,,,,,,,50 648,50648,,,,2024-12-10T17:44:48Z,2021,2021-01-01,2021-12-31
333273,MALARIA_TOTAL_CASES,COUNTRY,YEM,EMR,Eastern Mediterranean,YEAR,2022,,,,,,,,,201 792,201792,,,,2024-12-10T17:44:48Z,2022,2022-01-01,2022-12-31
4061258,MALARIA_TOTAL_CASES,COUNTRY,ZAF,AFR,Africa,YEAR,2023,,,,,,,,,9890,9890,,,,2024-12-10T17:44:48Z,2023,2023-01-01,2023-12-31
2479320,MALARIA_TOTAL_CASES,COUNTRY,BGD,SEAR,South-East Asia,YEAR,2017,,,,,,,,,29 247,29247,,,,2024-12-10T17:44:48Z,2017,2017-01-01,2017-12-31
4200360,MALARIA_TOTAL_CASES,COUNTRY,TLS,SEAR,South-East Asia,YEAR,2015,,,,,,,,,80,80,,,,2024-12-10T17:44:48Z,2015,2015-01-01,2015-12-31
4383330,MALARIA_TOTAL_CASES,COUNTRY,KEN,AFR,Africa,YEAR,2017,,,,,,,,,8 462 076,8462076,,,,2024-12-10T17:44:48Z,2017,2017-01-01,2017-12-31
4516238,MALARIA_TOTAL_CASES,COUNTRY,KGZ,EUR,Europe,YEAR,2018,,,,,,,,,0,0,,,,2024-12-10T17:44:48Z,2018,2018-01-01,2018-12-31
7973545,MALARIA_TOTAL_CASES,COUNTRY,GIN,AFR,Africa,YEAR,2019,,,,,,,,,2 172 260,2172260,,,,2024-12-10T17:44:48Z,2019,2019-01-01,2019-12-31
8579690,MALARIA_TOTAL_CASES,COUNTRY,HND,AMR,Americas,YEAR,2022,,,,,,,,,3580,3580,,,,2024-12-10T17:44:48Z,2022,2022-01-01,2022-12-31
5689059,MALARIA_TOTAL_CASES,COUNTRY,PHL,WPR,Western Pacific,YEAR,2023,,,,,,,,,6248,6248,,,,2024-12-10T17:44:48Z,2023,2023-01-01,2023-12-31
2706701,MALARIA_TOTAL_CASES,COUNTRY,MMR,SEAR,South-East Asia,YEAR,2016,,,,,,,,,110 146,110146,,,,2024-12-10T17:44:48Z,2016,2016-01-01,2016-12-31
3500418,MALARIA_TOTAL_CASES,COUNTRY,TUR,EUR,Europe,YEAR,2018,,,,,,,,,238,238,,,,2024-12-10T17:44:48Z,2018,2018-01-01,2018-12-31
8459659,MALARIA_TOTAL_CASES,COUNTRY,DJI,EMR,Eastern Mediterranean,YEAR,2023,,,,,,,,,38 944,38944,,,,2024-12-10T17:44:48Z,2023,2023-01-01,2023-12-31
5815956,MALARIA_TOTAL_CASES,COUNTRY,COM,AFR,Africa,YEAR,2016,,,,,,,,,1734,1734,,,,2024-12-10T17:44:48Z,2016,2016-01-01,2016-12-31
4349901,MALARIA_TOTAL_CASES,COUNTRY,SSD,AFR,Africa,YEAR,2019,,,,,,,,,4 064 662,4064662,,,,2024-12-10T17:44:48Z,2019,2019-01-01,2019-12-31
2880094,MALARIA_TOTAL_CASES,COUNTRY,KOR,WPR,Western Pacific,YEAR,2022,,,,,,,,,428,428,,,,2024-12-10T17:44:48Z,2022,2022-01-01,2022-12-31
