HH1,HH2,TNLN,TN3,TN4,TN5,TN10,TN12,TN13,TN15_1,TN15_2,TN15_3,TN15_4,TN1,TN2,HH4,HH6,HH7,HH7a,HH7Aux,HH7Aux1,hhweight,wscore,windex5,windex10,wscoreu,windex5u,windex10u,wscorer,windex5r,windex10r,helevel,PSU,stratum,IncProb_hh_mean,stratum_SE,PSU_SE
1,20,1,1,95,98,4,4,1,1,2,8,90,1,3,60,1,1, ,1, ,0.3864852751497004,-0.4031728750687948,2,4,-0.7305881662160866,2,3, , , ,0,1,1,0.132135,1,100120
1,20,2,1,95,98,4,4,1,3,4,5,6,1,3,60,1,1, ,1, ,0.3864852751497004,-0.4031728750687948,2,4,-0.7305881662160866,2,3, , , ,0,1,1,0.132135,1,100120
1,20,3,1,95,11,3, ,1,7,90, , ,1,3,60,1,1, ,1, ,0.3864852751497004,-0.4031728750687948,2,4,-0.7305881662160866,2,3, , , ,0,1,1,0.132135,1,100120
1,21,1,1,95,98,4,4,1,1,2,3,4,1,1,60,1,1, ,1, ,0.3864852751497004,-0.6232320438980572,2,3,-0.9605350510951486,1,2, , , ,1,1,1,0.132135,1,100121
1,23,1,1,95,12,1, ,1,3,90, , ,1,4,60,1,1, ,1, ,0.3864852751497004,1.63237177106795,5,10,1.3964177336133228,5,9, , , ,2,1,1,0.132135,1,100123
1,23,2,1,95,12,1, ,1,5,90, , ,1,4,60,1,1, ,1, ,0.3864852751497004,1.63237177106795,5,10,1.3964177336133228,5,9, , , ,2,1,1,0.132135,1,100123
1,23,3,1,95,12,1, ,1,7,90, , ,1,4,60,1,1, ,1, ,0.3864852751497004,1.63237177106795,5,10,1.3964177336133228,5,9, , , ,2,1,1,0.132135,1,100123
1,23,4,1,95,98,4,4,1,1,4,90, ,1,4,60,1,1, ,1, ,0.3864852751497004,1.63237177106795,5,10,1.3964177336133228,5,9, , , ,2,1,1,0.132135,1,100123
1,24,1,1,95,12,1, ,1,3,4,90, ,1,3,60,1,1, ,1, ,0.3864852751497004,0.23996166184704668,4,7,-0.05855625721311736,3,6, , , ,3,1,1,0.132135,1,100124
1,24,2,1,95,12,1, ,1,1,2,90, ,1,3,60,1,1, ,1, ,0.3864852751497004,0.23996166184704668,4,7,-0.05855625721311736,3,6, , , ,3,1,1,0.132135,1,100124
1,24,3,1,95,12,1, ,1,5,90, , ,1,3,60,1,1, ,1, ,0.3864852751497004,0.23996166184704668,4,7,-0.05855625721311736,3,6, , , ,3,1,1,0.132135,1,100124
1,25,1,1,95,98,4,4,1,1,2,90, ,1,2,60,1,1, ,1, ,0.3864852751497004,0.7370143815666901,4,8,0.4608300747823304,4,7, , , ,1,1,1,0.132135,1,100125
1,25,2,1,95,98,4,4,1,4,5,90, ,1,2,60,1,1, ,1, ,0.3864852751497004,0.7370143815666901,4,8,0.4608300747823304,4,7, , , ,1,1,1,0.132135,1,100125
1,26,1,1,3,98,4,4,1,1,2,90, ,1,3,60,1,1, ,1, ,0.3864852751497004,-0.3936940565970783,2,4,-0.72068344472004,2,3, , , ,0,1,1,0.132135,1,100126
1,26,2,1,95,12,1, ,1,4,5,90, ,1,3,60,1,1, ,1, ,0.3864852751497004,-0.3936940565970783,2,4,-0.72068344472004,2,3, , , ,0,1,1,0.132135,1,100126
1,26,3,1,95,12,1, ,2, , , , ,1,3,60,1,1, ,1, ,0.3864852751497004,-0.3936940565970783,2,4,-0.72068344472004,2,3, , , ,0,1,1,0.132135,1,100126
1,27,1,1,0,98,4,4,1,1,90, , ,1,1,60,1,1, ,1, ,0.3864852751497004,0.16131188985676861,4,7,-0.1407399270044215,3,5, , , ,1,1,1,0.132135,1,100127
2,1,1,1,95,11,2, ,1,5,4,90, ,1,1,60,1,1, ,1, ,0.3864852751497004,0.18274275659233066,4,7,-0.11834612686276837,3,5, , , ,2,2,1,0.132135,1,100201
2,2,1,1,95,11,1, ,1,3,4,90, ,1,2,60,1,1, ,1, ,0.3864852751497004,1.4241040066329498,5,10,1.1787920654471784,5,9, , , ,3,2,1,0.132135,1,100202
2,2,2,1,95,12,1, ,1,5,6,90, ,1,2,60,1,1, ,1, ,0.3864852751497004,1.4241040066329498,5,10,1.1787920654471784,5,9, , , ,3,2,1,0.132135,1,100202
2,4,1,1,17,18,3, ,1,1,90, , ,1,1,60,1,1, ,1, ,0.3864852751497004,-0.5142615079637907,2,4,-0.8466682423864061,1,2, , , ,0,2,1,0.132135,1,100204
2,6,1,1,24,98,1, ,1,2,90, , ,1,3,60,1,1, ,1, ,0.3864852751497004,-0.9909852322440287,1,2,-1.3448121549049412,1,1, , , ,1,2,1,0.132135,1,100206
2,6,2,1,24,98,1, ,1,3,5,90, ,1,3,60,1,1, ,1, ,0.3864852751497004,-0.9909852322440287,1,2,-1.3448121549049412,1,1, , , ,1,2,1,0.132135,1,100206
2,6,3,1,24,98,1, ,1,6,90, , ,1,3,60,1,1, ,1, ,0.3864852751497004,-0.9909852322440287,1,2,-1.3448121549049412,1,1, , , ,1,2,1,0.132135,1,100206
2,7,1,1,95,12,1, ,1,4,90, , ,1,6,60,1,1, ,1, ,0.3864852751497004,2.4400683803082766,5,10,2.2404058310431316,5,10, , , ,3,2,1,0.132135,1,100207
2,7,2,1,95,12,1, ,1,7,8,90, ,1,6,60,1,1, ,1, ,0.3864852751497004,2.4400683803082766,5,10,2.2404058310431316,5,10, , , ,3,2,1,0.132135,1,100207
2,7,3,1,95,98,4,4,1,6,90, , ,1,6,60,1,1, ,1, ,0.3864852751497004,2.4400683803082766,5,10,2.2404058310431316,5,10, , , ,3,2,1,0.132135,1,100207
2,7,4,1,9,98,4,4,1,1,2,90, ,1,6,60,1,1, ,1, ,0.3864852751497004,2.4400683803082766,5,10,2.2404058310431316,5,10, , , ,3,2,1,0.132135,1,100207
2,7,5,1,2,98,4,4,1,5,90, , ,1,6,60,1,1, ,1, ,0.3864852751497004,2.4400683803082766,5,10,2.2404058310431316,5,10, , , ,3,2,1,0.132135,1,100207
2,7,6,1,9,98,4,4,1,3,90, , ,1,6,60,1,1, ,1, ,0.3864852751497004,2.4400683803082766,5,10,2.2404058310431316,5,10, , , ,3,2,1,0.132135,1,100207
2,8,1,1,95,12,1, ,1,1,90, , ,1,1,60,1,1, ,1, ,0.3864852751497004,1.0561459096982129,5,9,0.7943008460796374,4,8, , , ,1,2,1,0.132135,1,100208
2,9,1,1,95,98,4,4,1,1,2,4,90,1,4,60,1,1, ,1, ,0.3864852751497004,0.8746903721064796,5,9,0.6046921338625703,4,8, , , ,2,2,1,0.132135,1,100209
2,9,2,1,95,12,1, ,1,3,5,6,90,1,4,60,1,1, ,1, ,0.3864852751497004,0.8746903721064796,5,9,0.6046921338625703,4,8, , , ,2,2,1,0.132135,1,100209
2,9,3,1,95,12,1, ,1,7,90, , ,1,4,60,1,1, ,1, ,0.3864852751497004,0.8746903721064796,5,9,0.6046921338625703,4,8, , , ,2,2,1,0.132135,1,100209
2,9,4,1,95,12,1, ,1,9,90, , ,1,4,60,1,1, ,1, ,0.3864852751497004,0.8746903721064796,5,9,0.6046921338625703,4,8, , , ,2,2,1,0.132135,1,100209
2,10,1,1,95,98,4,4,1,1,2,90, ,1,3,60,1,1, ,1, ,0.3864852751497004,1.165182508282824,5,9,0.9082366857709759,4,8, , , ,2,2,1,0.132135,1,100210
2,10,2,1,95,12,1, ,1,3,4,90, ,1,3,60,1,1, ,1, ,0.3864852751497004,1.165182508282824,5,9,0.9082366857709759,4,8, , , ,2,2,1,0.132135,1,100210
2,10,3,1,95,12,1, ,1,5,90, , ,1,3,60,1,1, ,1, ,0.3864852751497004,1.165182508282824,5,9,0.9082366857709759,4,8, , , ,2,2,1,0.132135,1,100210
2,11,1,1,95,12,1, ,1,1,2,90, ,1,3,60,1,1, ,1, ,0.3864852751497004,1.5270884735246915,5,10,1.2864038385837946,5,9, , , ,0,2,1,0.132135,1,100211
2,11,2,1,95,12,1, ,1,4,90, , ,1,3,60,1,1, ,1, ,0.3864852751497004,1.5270884735246915,5,10,1.2864038385837946,5,9, , , ,0,2,1,0.132135,1,100211
2,11,3,1,95,12,1, ,1,5,90, , ,1,3,60,1,1, ,1, ,0.3864852751497004,1.5270884735246915,5,10,1.2864038385837946,5,9, , , ,0,2,1,0.132135,1,100211
3,1,1,1,95,98,4,4,1,1,2,90, ,1,1,60,1,1, ,1, ,0.3864852751497004,1.821016065784143,5,10,1.59353820876086,5,10, , , ,3,3,1,0.132135,1,100301
3,2,1,1,95,13,1, ,1,1,90, , ,1,3,60,1,1, ,1, ,0.3864852751497004,1.96552083957378,5,10,1.7445358825222361,5,10, , , ,3,3,1,0.132135,1,100302
3,2,2,1,95,12,1, ,1,3,2,90, ,1,3,60,1,1, ,1, ,0.3864852751497004,1.96552083957378,5,10,1.7445358825222361,5,10, , , ,3,3,1,0.132135,1,100302
3,2,3,1,95,12,1, ,1,4,90, , ,1,3,60,1,1, ,1, ,0.3864852751497004,1.96552083957378,5,10,1.7445358825222361,5,10, , , ,3,3,1,0.132135,1,100302
3,3,1,1,95,98,4,4,1,1,2,90, ,1,3,60,1,1, ,1, ,0.3864852751497004,1.8068554069587919,5,10,1.5787412820886018,5,10, , , ,3,3,1,0.132135,1,100303
3,3,2,1,95,98,4,4,1,5,90, , ,1,3,60,1,1, ,1, ,0.3864852751497004,1.8068554069587919,5,10,1.5787412820886018,5,10, , , ,3,3,1,0.132135,1,100303
3,3,3,1,95,12,1, ,1,3,4,90, ,1,3,60,1,1, ,1, ,0.3864852751497004,1.8068554069587919,5,10,1.5787412820886018,5,10, , , ,3,3,1,0.132135,1,100303
3,4,1,1,95,11,1, ,1,1,2,90, ,1,1,60,1,1, ,1, ,0.3864852751497004,1.13590199092279,5,9,0.8776405338796135,4,8, , , ,2,3,1,0.132135,1,100304
3,5,1,1,0,12,4,2,1,3,5,90, ,1,3,60,1,1, ,1, ,0.3864852751497004,0.8685295021137438,5,9,0.5982544431700562,4,8, , , ,3,3,1,0.132135,1,100305
3,5,2,1,0,12,4,2,1,4,90, , ,1,3,60,1,1, ,1, ,0.3864852751497004,0.8685295021137438,5,9,0.5982544431700562,4,8, , , ,3,3,1,0.132135,1,100305
3,5,3,1,95,98,4,4,1,1,2,6,90,1,3,60,1,1, ,1, ,0.3864852751497004,0.8685295021137438,5,9,0.5982544431700562,4,8, , , ,3,3,1,0.132135,1,100305
3,6,1,1,95,11,1, ,1,3,90, , ,1,4,60,1,1, ,1, ,0.3864852751497004,2.343504145737534,5,10,2.139502764616023,5,10, , , ,3,3,1,0.132135,1,100306
3,6,2,1,95,12,1, ,1,4,90, , ,1,4,60,1,1, ,1, ,0.3864852751497004,2.343504145737534,5,10,2.139502764616023,5,10, , , ,3,3,1,0.132135,1,100306
3,6,3,1,95,12,1, ,1,5,6,90, ,1,4,60,1,1, ,1, ,0.3864852751497004,2.343504145737534,5,10,2.139502764616023,5,10, , , ,3,3,1,0.132135,1,100306
3,6,4,1,95,98,4,4,1,1,2,90, ,1,4,60,1,1, ,1, ,0.3864852751497004,2.343504145737534,5,10,2.139502764616023,5,10, , , ,3,3,1,0.132135,1,100306
3,7,1,1,95,98,4,4,1,1,2,90, ,1,3,60,1,1, ,1, ,0.3864852751497004,1.4873702320946172,5,10,1.2449009739755665,5,9, , , ,3,3,1,0.132135,1,100307
3,7,2,1,95,98,4,4,1,3,90, , ,1,3,60,1,1, ,1, ,0.3864852751497004,1.4873702320946172,5,10,1.2449009739755665,5,9, , , ,3,3,1,0.132135,1,100307
3,7,3,1,95,98,4,4,1,4,5,90, ,1,3,60,1,1, ,1, ,0.3864852751497004,1.4873702320946172,5,10,1.2449009739755665,5,9, , , ,3,3,1,0.132135,1,100307
3,9,1,1,95,12,1, ,1,1,90, , ,1,2,60,1,1, ,1, ,0.3864852751497004,1.1290977675245948,5,9,0.8705305825753341,4,8, , , ,3,3,1,0.132135,1,100309
3,9,2,1,95,12,1, ,1,2,3,90, ,1,2,60,1,1, ,1, ,0.3864852751497004,1.1290977675245948,5,9,0.8705305825753341,4,8, , , ,3,3,1,0.132135,1,100309
3,10,1,1,95,12,1, ,1,2,90, , ,1,2,60,1,1, ,1, ,0.3864852751497004,1.8028910745367905,5,10,1.5745988239673883,5,10, , , ,3,3,1,0.132135,1,100310
3,10,2,1,95,98,4,4,1,1,90, , ,1,2,60,1,1, ,1, ,0.3864852751497004,1.8028910745367905,5,10,1.5745988239673883,5,10, , , ,3,3,1,0.132135,1,100310
3,11,1,1,95,12,1, ,1,1,2,90, ,1,2,60,1,1, ,1, ,0.3864852751497004,0.04577845663914021,3,6,-0.2614645176184533,3,5, , , ,1,3,1,0.132135,1,100311
3,11,2,1,95,98,4,4,2, , , , ,1,2,60,1,1, ,1, ,0.3864852751497004,0.04577845663914021,3,6,-0.2614645176184533,3,5, , , ,1,3,1,0.132135,1,100311
3,12,1,1,95,11,4,5,1,1,90, , ,1,1,60,1,1, ,1, ,0.3864852751497004,0.3392604395028743,4,7,0.04520422100613827,3,6, , , ,3,3,1,0.132135,1,100312
3,13,1,1,95,12,1, ,1,3,4,90, ,1,5,60,1,1, ,1, ,0.3864852751497004,1.1163879322087547,5,9,0.8572496679297333,4,8, , , ,2,3,1,0.132135,1,100313
3,13,2,1,95,12,1, ,1,8,5,90, ,1,5,60,1,1, ,1, ,0.3864852751497004,1.1163879322087547,5,9,0.8572496679297333,4,8, , , ,2,3,1,0.132135,1,100313
3,13,3,1,95,98,1, ,1,1,2,90, ,1,5,60,1,1, ,1, ,0.3864852751497004,1.1163879322087547,5,9,0.8572496679297333,4,8, , , ,2,3,1,0.132135,1,100313
3,13,4,1,95,12,1, ,1,9,90, , ,1,5,60,1,1, ,1, ,0.3864852751497004,1.1163879322087547,5,9,0.8572496679297333,4,8, , , ,2,3,1,0.132135,1,100313
3,13,5,1,95,98,4,4,1,6,90, , ,1,5,60,1,1, ,1, ,0.3864852751497004,1.1163879322087547,5,9,0.8572496679297333,4,8, , , ,2,3,1,0.132135,1,100313
3,14,1,1,95,12,1, ,1,3,90, , ,1,6,60,1,1, ,1, ,0.3864852751497004,0.3318931233217457,4,7,0.03750587598928498,3,6, , , ,2,3,1,0.132135,1,100314
3,14,2,1,95,12,1, ,1,5,90, , ,1,6,60,1,1, ,1, ,0.3864852751497004,0.3318931233217457,4,7,0.03750587598928498,3,6, , , ,2,3,1,0.132135,1,100314
3,14,3,1,95,12,1, ,1,6,90, , ,1,6,60,1,1, ,1, ,0.3864852751497004,0.3318931233217457,4,7,0.03750587598928498,3,6, , , ,2,3,1,0.132135,1,100314
3,14,4,1,95,12,1, ,1,7,90, , ,1,6,60,1,1, ,1, ,0.3864852751497004,0.3318931233217457,4,7,0.03750587598928498,3,6, , , ,2,3,1,0.132135,1,100314
3,14,5,1,95,12,1, ,1,8,90, , ,1,6,60,1,1, ,1, ,0.3864852751497004,0.3318931233217457,4,7,0.03750587598928498,3,6, , , ,2,3,1,0.132135,1,100314
3,14,6,1,95,98,4,4,1,1,2,90, ,1,6,60,1,1, ,1, ,0.3864852751497004,0.3318931233217457,4,7,0.03750587598928498,3,6, , , ,2,3,1,0.132135,1,100314
3,15,1,1,95,98,4,4,1,1,0,90, ,1,1,60,1,1, ,1, ,0.3864852751497004,1.119709010215415,5,9,0.8607199688771318,4,8, , , ,1,3,1,0.132135,1,100315
3,17,1,1,95,12,1, ,1,1,90, , ,1,3,60,1,1, ,1, ,0.3864852751497004,1.6014748513708652,5,10,1.3641325510667348,5,9, , , ,3,3,1,0.132135,1,100317
3,17,2,1,95,12,1, ,1,2,90, , ,1,3,60,1,1, ,1, ,0.3864852751497004,1.6014748513708652,5,10,1.3641325510667348,5,9, , , ,3,3,1,0.132135,1,100317
3,17,3,1,95,12,1, ,1,3,90, , ,1,3,60,1,1, ,1, ,0.3864852751497004,1.6014748513708652,5,10,1.3641325510667348,5,9, , , ,3,3,1,0.132135,1,100317
3,19,1,1,95,12,1, ,1,1,90, , ,1,1,60,1,1, ,1, ,0.3864852751497004,0.3756537518483724,4,7,0.08323276055211332,3,6, , , ,2,3,1,0.132135,1,100319
3,20,1,1,95,12,1, ,1,2,1,90, ,1,3,60,1,1, ,1, ,0.3864852751497004,1.6885302062192107,5,10,1.455099484032613,5,10, , , ,2,3,1,0.132135,1,100320
3,20,2,1,95,12,1, ,1,4,90, , ,1,3,60,1,1, ,1, ,0.3864852751497004,1.6885302062192107,5,10,1.455099484032613,5,10, , , ,2,3,1,0.132135,1,100320
3,20,3,1,95,12,1, ,1,3,90, , ,1,3,60,1,1, ,1, ,0.3864852751497004,1.6885302062192107,5,10,1.455099484032613,5,10, , , ,2,3,1,0.132135,1,100320
3,21,1,1,95,12,1, ,1,7,5,90, ,1,3,60,1,1, ,1, ,0.3864852751497004,1.9444863470008225,5,10,1.7225562664585397,5,10, , , ,2,3,1,0.132135,1,100321
3,21,2,1,95,12,1, ,1,3,90, , ,1,3,60,1,1, ,1, ,0.3864852751497004,1.9444863470008225,5,10,1.7225562664585397,5,10, , , ,2,3,1,0.132135,1,100321
3,21,3,1,95,98,4,4,1,1,2,90, ,1,3,60,1,1, ,1, ,0.3864852751497004,1.9444863470008225,5,10,1.7225562664585397,5,10, , , ,2,3,1,0.132135,1,100321
3,22,1,1,95,98,4,4,1,1,2,3,90,1,1,60,1,1, ,1, ,0.3864852751497004,1.0428799678365388,5,9,0.7804388378647219,4,8, , , ,3,3,1,0.132135,1,100322
3,26,1,1,95,12,1, ,1,1,2,90, ,1,1,60,1,1, ,1, ,0.3864852751497004,0.6164268306549651,4,8,0.33482427445659885,4,7, , , ,1,3,1,0.132135,1,100326
3,27,1,1,95,11,1, ,1,0,1,90, ,1,2,60,1,1, ,1, ,0.3864852751497004,1.846544895291032,5,10,1.6202141016625204,5,10, , , ,3,3,1,0.132135,1,100327
3,27,2,1,95,11,1, ,1,3,4,90, ,1,2,60,1,1, ,1, ,0.3864852751497004,1.846544895291032,5,10,1.6202141016625204,5,10, , , ,3,3,1,0.132135,1,100327
3,31,1,1,95,12,1, ,1,1,90, , ,1,2,60,1,1, ,1, ,0.3864852751497004,0.6082028806148068,4,8,0.32623080524013254,4,7, , , ,3,3,1,0.132135,1,100331
3,31,2,1,95,12,1, ,1,3,4,90, ,1,2,60,1,1, ,1, ,0.3864852751497004,0.6082028806148068,4,8,0.32623080524013254,4,7, , , ,3,3,1,0.132135,1,100331
3,32,1,1,95,98,4,4,1,1,90, , ,1,2,60,1,1, ,1, ,0.3864852751497004,-0.23344014659560747,3,5,-0.5532289933078448,2,4, , , ,0,3,1,0.132135,1,100332
3,32,2,1,95,98,4,4,2, , , , ,1,2,60,1,1, ,1, ,0.3864852751497004,-0.23344014659560747,3,5,-0.5532289933078448,2,4, , , ,0,3,1,0.132135,1,100332
3,33,1,1,95,98,4,4,1,1,2,90, ,1,3,60,1,1, ,1, ,0.3864852751497004,1.8203349211165831,5,10,1.5928264588470042,5,10, , , ,1,3,1,0.132135,1,100333
3,33,2,1,95,98,4,4,1,3,90, , ,1,3,60,1,1, ,1, ,0.3864852751497004,1.8203349211165831,5,10,1.5928264588470042,5,10, , , ,1,3,1,0.132135,1,100333
3,33,3,1,95,98,4,4,1,0,90, , ,1,3,60,1,1, ,1, ,0.3864852751497004,1.8203349211165831,5,10,1.5928264588470042,5,10, , , ,1,3,1,0.132135,1,100333
4,1,1,1,95,12,1, ,1,1,90, , ,1,2,60,1,1, ,1, ,0.3864852751497004,0.9466291047828308,5,9,0.679863223388538,4,8, , , ,1,4,1,0.132135,1,100401
4,1,2,2,95,12,1, ,2, , , , ,1,2,60,1,1, ,1, ,0.3864852751497004,0.9466291047828308,5,9,0.679863223388538,4,8, , , ,1,4,1,0.132135,1,100401
4,2,1,2,95,12,1, ,1,8,7,90, ,1,2,60,1,1, ,1, ,0.3864852751497004,0.7630345672655543,4,8,0.4880194015314048,4,7, , , ,0,4,1,0.132135,1,100402
4,2,2,2,95,11,1, ,1,1,90, , ,1,2,60,1,1, ,1, ,0.3864852751497004,0.7630345672655543,4,8,0.4880194015314048,4,7, , , ,0,4,1,0.132135,1,100402
4,3,1,1,24,12,8,5,1,1,6,90, ,1,4,60,1,1, ,1, ,0.3864852751497004,0.17583956254442595,4,7,-0.12555949577384956,3,5, , , ,1,4,1,0.132135,1,100403
4,3,2,1,24,12,8,5,1,8,90, , ,1,4,60,1,1, ,1, ,0.3864852751497004,0.17583956254442595,4,7,-0.12555949577384956,3,5, , , ,1,4,1,0.132135,1,100403
4,3,3,1,24,12,8,5,1,4,5,90, ,1,4,60,1,1, ,1, ,0.3864852751497004,0.17583956254442595,4,7,-0.12555949577384956,3,5, , , ,1,4,1,0.132135,1,100403
4,3,4,1,24,12,8,5,1,7,90, , ,1,4,60,1,1, ,1, ,0.3864852751497004,0.17583956254442595,4,7,-0.12555949577384956,3,5, , , ,1,4,1,0.132135,1,100403
4,5,1,1,0,98,4,1,1,1,2,7,6,1,1,60,1,1, ,1, ,0.3864852751497004,-0.04632252669536985,3,6,-0.3577037896503342,2,4, , , ,1,4,1,0.132135,1,100405
4,6,1,1,98,11,1, ,1,1,90, , ,1,1,60,1,1, ,1, ,0.3864852751497004,-1.5121351858709724,1,1,-1.88937845963529,1,1, , , ,0,4,1,0.132135,1,100406
4,7,1,1,95,12,2, ,1,1,3,90, ,1,1,60,1,1, ,1, ,0.3864852751497004,-0.47900665883647814,2,4,-0.809829319578347,1,2, , , ,2,4,1,0.132135,1,100407
4,8,1,1,95,36,4,4,1,1,2,0,0,1,3,60,1,1, ,1, ,0.3864852751497004,0.39211955297696,4,7,0.1004384043646395,3,6, , , ,2,4,1,0.132135,1,100408
4,8,2,1,95,11,3, ,1,4,5,0,0,1,3,60,1,1, ,1, ,0.3864852751497004,0.39211955297696,4,7,0.1004384043646395,3,6, , , ,2,4,1,0.132135,1,100408
4,8,3,2,95,11,1, ,2, , , , ,1,3,60,1,1, ,1, ,0.3864852751497004,0.39211955297696,4,7,0.1004384043646395,3,6, , , ,2,4,1,0.132135,1,100408
5,1,1,1,2,98,4,4,1,3,4,6,5,1,2,60,1,1, ,1, ,0.3864852751497004,-0.31598375278035246,3,5,-0.6394814553608699,2,3, , , ,2,5,1,0.132135,1,100501
5,1,2,1,2,98,4,4,1,1,2,7,90,1,2,60,1,1, ,1, ,0.3864852751497004,-0.31598375278035246,3,5,-0.6394814553608699,2,3, , , ,2,5,1,0.132135,1,100501
