HH1,HH2,TNLN,TN3,TN4,TN5,TN5A,TN5B,TN7,TN8,TN9,TN10,TN11_1,TN11_2,TN11_3,TN11_4,TN2,HH6,HH7,helevel,religion,hhweight,wscore,windex5
1,21,2,2,11,13,98,9998, , , ,2, , , , ,2,1,1,2,2,0.9208810332962779,-0.4869713567185659,2
1,23,1,1,0,98,96,9995,1,1,0,1,1,6,90, ,2,1,1,2,2,0.9208810332962779,-0.534096011359513,1
1,23,2,1,4,21,96,9995, ,2, ,2, , , , ,2,1,1,2,2,0.9208810332962779,-0.534096011359513,1
1,24,1,1,98,21,11,9995, ,2, ,2, , , , ,2,1,1,1,2,0.9208810332962779,-0.08586776035812743,4
1,24,2,1,98,21,11,9995, ,2, ,1,2,3,90, ,2,1,1,1,2,0.9208810332962779,-0.08586776035812743,4
1,25,1,1,12,21,96,9995, ,2, ,1,4,90, , ,5,1,1,1,2,0.9208810332962779,0.39645111461188615,5
1,25,2,1,95,21,23,450, ,2, ,1,1,90, , ,5,1,1,1,2,0.9208810332962779,0.39645111461188615,5
1,25,3,1,6,12,15,9995, , , ,1,2,90, , ,5,1,1,1,2,0.9208810332962779,0.39645111461188615,5
1,25,4,1,12,12,96,9995, , , ,2, , , , ,5,1,1,1,2,0.9208810332962779,0.39645111461188615,5
1,25,5,1,12,12,96,9995, , , ,2, , , , ,5,1,1,1,2,0.9208810332962779,0.39645111461188615,5
2,1,1,1,3,12,12,9995, , , ,1,3,90, , ,6,1,1,1,2,0.9686190132832084,0.4795161837514934,5
2,1,2,1,3,12,12,9995, , , ,1,2,7,90, ,6,1,1,1,2,0.9686190132832084,0.4795161837514934,5
2,1,3,1,3,12,12,9995, , , ,1,4,5,90, ,6,1,1,1,2,0.9686190132832084,0.4795161837514934,5
2,1,4,1,98,11,98,9995, , , ,1,1,90, , ,6,1,1,1,2,0.9686190132832084,0.4795161837514934,5
2,1,5,1,3,12,12,9995, , , ,2, , , , ,6,1,1,1,2,0.9686190132832084,0.4795161837514934,5
2,1,6,1,3,12,12,9995, , , ,2, , , , ,6,1,1,1,2,0.9686190132832084,0.4795161837514934,5
2,2,1,1,5,12,13,9995, , , ,1,1,90, , ,5,1,1,2,2,0.9686190132832084,-0.40905337796382424,3
2,2,2,1,5,12,13,9995, , , ,1,2,90, , ,5,1,1,2,2,0.9686190132832084,-0.40905337796382424,3
2,2,3,1,5,12,13,9995, , , ,1,3,90, , ,5,1,1,2,2,0.9686190132832084,-0.40905337796382424,3
2,2,4,1,5,11,13,9995, , , ,1,4,5,90, ,5,1,1,2,2,0.9686190132832084,-0.40905337796382424,3
2,2,5,1,5,11,13,9995, , , ,2, , , , ,5,1,1,2,2,0.9686190132832084,-0.40905337796382424,3
2,3,1,1,98,12,13,9995, , , ,1,0,0,90, ,2,1,1,2,2,0.9686190132832084,-0.44215054936706877,2
2,3,2,1,98,11,13,9995, , , ,1,0,0,0,90,2,1,1,2,2,0.9686190132832084,-0.44215054936706877,2
2,4,1,1,3,11,13,9995, , , ,2, , , , ,2,1,1,1,2,0.9686190132832084,-0.45449945425619204,2
2,4,2,1,3,11,13,9995, , , ,1,1,90, , ,2,1,1,1,2,0.9686190132832084,-0.45449945425619204,2
2,5,1,1,3,12,12,9995, , , ,1,3,90, , ,2,1,1,9,1,0.9686190132832084,0.4619059598880187,5
2,5,2,1,3,12,12,9995, , , ,1,1,90, , ,2,1,1,9,1,0.9686190132832084,0.4619059598880187,5
2,7,1,1,20,12,13,9995, , , ,1,1,3,4,90,3,1,1,2,2,0.9686190132832084,-0.334410227677046,3
2,7,2,1,20,12,13,9995, , , ,1,2,5,90, ,3,1,1,2,2,0.9686190132832084,-0.334410227677046,3
2,7,3,1,95,12,11,9995, , , ,2, , , , ,3,1,1,2,2,0.9686190132832084,-0.334410227677046,3
2,8,1,1,4,12,13,9995, , , ,1,1,2,3,90,1,1,1,2,2,0.9686190132832084,-0.3704170164449934,3
2,9,1,1,4,11,13,9995, , , ,1,1,2,90, ,3,1,1,2,2,0.9686190132832084,-0.32871712958865523,3
2,9,2,1,12,12,13,9995, , , ,2, , , , ,3,1,1,2,2,0.9686190132832084,-0.32871712958865523,3
2,9,3,2,4,11,13,9995, , , ,1,3,4,90, ,3,1,1,2,2,0.9686190132832084,-0.32871712958865523,3
2,10,1,1,5,11,13,9995, , , ,1,1,90, , ,2,1,1,2,2,0.9686190132832084,-0.454046757352449,2
2,10,2,1,5,11,13,9995, , , ,1,2,90, , ,2,1,1,2,2,0.9686190132832084,-0.454046757352449,2
2,11,1,1,95,98,32,380,1,1,0,1,1,90, , ,1,1,1,1,2,0.9686190132832084,-0.3979092387419955,3
2,12,1,1,24,12,12,50, , , ,2, , , , ,2,1,1,2,2,0.9686190132832084,-0.5724534476088914,1
2,12,2,1,24,12,12,50, , , ,2, , , , ,2,1,1,2,2,0.9686190132832084,-0.5724534476088914,1
2,14,1,1,2,11,12,9995, , , ,2, , , , ,1,1,1,1,2,0.9686190132832084,-0.4318100725753128,2
2,15,1,2,2,11,12,9995, , , ,1,3,90, , ,3,1,1,2,2,0.9686190132832084,-0.5404513624215878,1
2,15,2,2,2,11,12,9995, , , ,2, , , , ,3,1,1,2,2,0.9686190132832084,-0.5404513624215878,1
