HH1,HH2,TNLN,TN4,TN5,TN6,TN8,TN9,TN10,TN11,TN12_1,TN12_2,TN12_3,TN12_4,TN2,HH6,HH7,helevel,religion,hhweight,wscore,windex5
2,16,1,1,11,14, , , ,1,4,90, , ,4,1,3,2,1,0.7257941505328424,1.1947586610125782,5
2,16,2,1,13,14, , , ,1,1,2,90, ,4,1,3,2,1,0.7257941505328424,1.1947586610125782,5
2,16,3,1,11,14, , , ,2, , , , ,4,1,3,2,1,0.7257941505328424,1.1947586610125782,5
2,16,4,1,11,14, , , ,2, , , , ,4,1,3,2,1,0.7257941505328424,1.1947586610125782,5
2,17,1,1,12,95, , , ,1,5,90, , ,3,1,3,1,1,0.7257941505328424,-0.021017150581521947,4
2,17,2,1,11,24, , , ,1,1,2,3,90,3,1,3,1,1,0.7257941505328424,-0.021017150581521947,4
2,17,3,1,11,24, , , ,2, , , , ,3,1,3,1,1,0.7257941505328424,-0.021017150581521947,4
2,19,1,1,13,6, , , ,1,1,2,7,8,2,1,3,3,1,0.7257941505328424,0.0523554218384978,4
2,19,2,1,13,6, , , ,1,3,4,5,6,2,1,3,3,1,0.7257941505328424,0.0523554218384978,4
2,21,1,1,13,95, , , ,1,1,2,7,90,3,1,3,2,1,0.7257941505328424,-0.15904443493383202,4
2,21,2,1,11,95, , , ,1,3,4,5,90,3,1,3,2,1,0.7257941505328424,-0.15904443493383202,4
2,21,3,1,11,95, , , ,2, , , , ,3,1,3,2,1,0.7257941505328424,-0.15904443493383202,4
2,22,1,1,13,24, , , ,1,1,2,5,6,1,1,3,2,1,0.7257941505328424,-0.06045841188577156,4
2,23,1,1,11,24, , , ,1,1,5,6,90,1,1,3,2,1,0.7257941505328424,0.051989159414137495,4
2,24,1,1,11,95, , , ,1,1,2,6,90,1,1,3,2,3,0.7257941505328424,0.5647137200477123,5
3,1,1,1,12,24, , , ,1,1,2,5,90,1,2,3,2,1,0.6138406924688256,-0.6822958828393598,1
3,2,1,1,13,12, , , ,1,1,4,6,90,2,2,3,1,1,0.6138406924688256,-0.5676835445821903,2
3,2,2,2,13,12, , , ,1,2,3,7,90,2,2,3,1,1,0.6138406924688256,-0.5676835445821903,2
3,3,1,1,12,24, , , ,1,1,2,90, ,1,2,3,3,1,0.6138406924688256,-0.655244954933233,1
3,4,1,1,13,6, , , ,1,1,6,8,90,1,2,3,1,2,0.6138406924688256,-0.5819419951642498,1
3,5,1,1,11,95, , , ,1,1,2,7,90,1,2,3,2,3,0.6138406924688256,-0.2823582135312712,3
3,6,1,2,11,95, , , ,2, , , , ,1,2,3,1,1,0.6138406924688256,-0.5160924431646075,2
3,7,1,1,11,24, , , ,1,1,2,90, ,4,2,3,1,1,0.6138406924688256,-0.3507081283966476,3
3,7,2,1,11,24, , , ,1,3,4,12,13,4,2,3,1,1,0.6138406924688256,-0.3507081283966476,3
3,7,3,1,13,15, , , ,1,6,8,11,14,4,2,3,1,1,0.6138406924688256,-0.3507081283966476,3
3,7,4,1,13,15, , , ,1,7,15,9,10,4,2,3,1,1,0.6138406924688256,-0.3507081283966476,3
3,8,1,1,11,95, , , ,1,1,2,4,5,1,2,3,2,3,0.6138406924688256,-0.5932024486033631,1
3,10,1,1,11,24, , , ,1,1,2,7,8,2,2,3,2,3,0.6138406924688256,-0.5841854726346541,1
3,10,2,1,11,24, , , ,1,3,4,5,6,2,2,3,2,3,0.6138406924688256,-0.5841854726346541,1
3,11,1,1,13,95, , , ,1,1,2,3,4,1,2,3,1,1,0.6138406924688256,-0.05607024482024653,4
3,12,1,1,11,14, , , ,1,5,7,4,90,2,2,3,2,1,0.6138406924688256,-0.008043717572154175,4
3,12,2,1,13,24, , , ,1,1,2,90, ,2,2,3,2,1,0.6138406924688256,-0.008043717572154175,4
3,13,1,1,11,14, , , ,2, , , , ,1,2,3,3,1,0.6138406924688256,-0.5663965744361504,2
3,15,1,1,13,95, , , ,1,1,2,6,7,1,2,3,1,3,0.6138406924688256,-0.4803671879700618,2
3,16,1,1,12,3, , , ,1,1,2,4,5,2,2,3,2,3,0.6138406924688256,-0.42675289005505407,2
3,16,2,1,11,23, , , ,2, , , , ,2,2,3,2,3,0.6138406924688256,-0.42675289005505407,2
3,17,1,1,11,28, , , ,1,3,90, , ,3,2,3,3,1,0.6138406924688256,0.960747967142111,5
3,17,2,1,11,28, , , ,2, , , , ,3,2,3,3,1,0.6138406924688256,0.960747967142111,5
3,17,3,1,12,95, , , ,1,1,2,4,90,3,2,3,3,1,0.6138406924688256,0.960747967142111,5
3,18,1,1,12,24, , , ,1,1,2,5,90,2,2,3,2,1,0.6138406924688256,-0.4699478508211686,2
3,18,2,1,13,95, , , ,1,3,4,90, ,2,2,3,2,1,0.6138406924688256,-0.4699478508211686,2
3,19,1,1,11,95, , , ,1,1,2,7,8,2,2,3,1,1,0.6138406924688256,-0.5601693979415995,2
3,19,2,2,11,95, , , ,1,3,4,90, ,2,2,3,1,1,0.6138406924688256,-0.5601693979415995,2
3,20,1,1,11,14, , , ,1,5,7,12,90,3,2,3,1,3,0.6138406924688256,-0.303519872683344,3
3,20,2,1,11,14, , , ,1,3,11,10,90,3,2,3,1,3,0.6138406924688256,-0.303519872683344,3
3,20,3,1,13,6, , , ,2, , , , ,3,2,3,1,3,0.6138406924688256,-0.303519872683344,3
3,21,1,1,11,95, , , ,1,3,4,5,90,2,2,3,2,1,0.6138406924688256,0.09532182589004519,4
3,21,2,1,11,95, , , ,1,1,2,6,7,2,2,3,2,1,0.6138406924688256,0.09532182589004519,4
3,22,1,1,12,14, , , ,1,1,2,7,8,3,2,3,2,1,0.6138406924688256,-0.62025337650949,1
3,22,2,1,11,24, , , ,1,3,4,90, ,3,2,3,2,1,0.6138406924688256,-0.62025337650949,1
3,22,3,1,11,24, , , ,1,5,6,90, ,3,2,3,2,1,0.6138406924688256,-0.62025337650949,1
3,23,1,1,12,4, , , ,1,1,2,3,90,1,2,3,2,1,0.6138406924688256,-0.6762553709700513,1
3,24,1,1,12,24, , , ,1,1,2,3,4,2,2,3,2,3,0.6138406924688256,-0.5721920325665447,2
3,24,2,1,12,24, , , ,2, , , , ,2,2,3,2,3,0.6138406924688256,-0.5721920325665447,2
3,25,1,1,12,18, , , ,1,1,2,90, ,3,2,3,2,1,0.6138406924688256,-0.14307955059346933,4
3,25,2,1,12,18, , , ,1,4,5,6,7,3,2,3,2,1,0.6138406924688256,-0.14307955059346933,4
3,25,3,1,13,25, , , ,2, , , , ,3,2,3,2,1,0.6138406924688256,-0.14307955059346933,4
4,2,1,1,11,95, , , ,1,1,2,3,4,1,2,3,1,1,0.7021851797712406,-0.4198527783899338,3
4,3,1,1,12,95, , , ,1,1,2,5,6,2,2,3,1,1,0.7021851797712406,-0.5841854726346541,1
4,3,2,1,12,95, , , ,1,3,4,7,8,2,2,3,1,1,0.7021851797712406,-0.5841854726346541,1
4,5,1,1,11,95, , , ,1,1,2,5,6,1,2,3,1,3,0.7021851797712406,-0.412890736327163,3
4,6,1,1,11,95, , , ,1,1,2,6,5,1,2,3,3,1,0.7021851797712406,1.2087564313722599,5
4,8,1,1,11,95, , , ,1,1,2,6,90,2,2,3,3,1,0.7021851797712406,0.08647565832468355,4
4,8,2,1,11,95, , , ,1,3,4,5,90,2,2,3,3,1,0.7021851797712406,0.08647565832468355,4
4,9,1,1,11,95, , , ,1,3,14,9,90,2,2,3,2,2,0.7021851797712406,0.29993905492884504,4
4,9,2,1,12,12, , , ,1,4,11,12,90,2,2,3,2,2,0.7021851797712406,0.29993905492884504,4
4,10,1,1,11,95, , , ,1,1,2,7,8,1,2,3,2,1,0.7021851797712406,-0.7213402508135961,1
4,12,1,1,11,24, , , ,1,1,2,3,4,1,2,3,2,1,0.7021851797712406,-0.6732789068706508,1
4,14,1,2,13,24, , , ,1,2,1,90, ,3,2,3,1,1,0.7021851797712406,-0.3550013450393195,3
4,14,2,2,13,24, , , ,1,3,6,7,8,3,2,3,1,1,0.7021851797712406,-0.3550013450393195,3
4,14,3,2,13,95, , , ,1,4,5,90, ,3,2,3,1,1,0.7021851797712406,-0.3550013450393195,3
4,15,1,1,11,95, , , ,1,1,2,90, ,1,2,3,1,1,0.7021851797712406,-0.22759652945808254,3
4,16,1,1,12,24, , , ,1,1,2,6,5,1,2,3,2,1,0.7021851797712406,-0.4380542674060079,2
4,17,1,1,13,95, , , ,1,1,2,90, ,2,2,3,2,1,0.7021851797712406,0.11803507421516485,4
