HH1,HH2,TNLN,TN4,TN5,TN6,TN8,TN9,TN10,TN11,TN12_1,TN12_2,TN12_3,TN12_4,TN12_5,TN12_6,TN2,HH6,HH7,helevel,ethnicity,hhweight,wscore,windex5,wscoreu,windex5u,wscorer,windex5r
1,17,1,1,21,95, ,2, ,1,1,90, , , , ,1,2,2,2,1,0.8515508608479451,-0.48619446557682766,2, , ,-0.2829489452606715,3
1,18,1,1,21,19, ,1,3,1,1,2,6,90, , ,1,2,2,1,1,0.8515508608479451,-0.9345990116070924,1, , ,-0.973887916356714,1
1,20,1,1,11,95, , , ,1,1,2,90, , , ,2,2,2,2,1,0.8515508608479451,-0.259391159387797,3, , ,0.06652842825563707,4
1,20,2,1,11,95, , , ,2, , , , , , ,2,2,2,2,1,0.8515508608479451,-0.259391159387797,3, , ,0.06652842825563707,4
1,21,1,1,21,95, ,2, ,1,1,2,90, , , ,2,2,2,9,1,0.8515508608479451,-0.7702913118825758,1, , ,-0.7207089644574338,1
1,21,2,1,21,95, ,2, ,1,3,4,5,6,7,90,2,2,2,9,1,0.8515508608479451,-0.7702913118825758,1, , ,-0.7207089644574338,1
1,22,1,1,12,6, , , ,1,1,2,90, , , ,2,2,2,2,1,0.8515508608479451,0.5215762751580695,4, , ,1.2699079222008594,5
1,22,2,1,12,6, , , ,1,3,4,90, , , ,2,2,2,2,1,0.8515508608479451,0.5215762751580695,4, , ,1.2699079222008594,5
1,24,1,1,11,24, , , ,1,1,90, , , , ,4,2,2,2,1,0.8515508608479451,0.30492246567089104,4, , ,0.9360697362672903,5
1,24,2,1,11,24, , , ,1,4,90, , , , ,4,2,2,2,1,0.8515508608479451,0.30492246567089104,4, , ,0.9360697362672903,5
1,24,3,1,11,24, , , ,1,2,90, , , , ,4,2,2,2,1,0.8515508608479451,0.30492246567089104,4, , ,0.9360697362672903,5
1,24,4,1,11,24, , , ,1,3,90, , , , ,4,2,2,2,1,0.8515508608479451,0.30492246567089104,4, , ,0.9360697362672903,5
1,25,1,1,11,24, , , ,1,1,90, , , , ,1,2,2,1,1,0.8515508608479451,-0.5314032969525128,2, , ,-0.3526104679006807,3
1,26,1,1,13,95, , , ,1,5,90, , , , ,4,2,2,2,1,0.8515508608479451,0.043240626545567484,4, , ,0.5328486220291491,4
1,26,2,1,28,95, ,2, ,1,1,90, , , , ,4,2,2,2,1,0.8515508608479451,0.043240626545567484,4, , ,0.5328486220291491,4
1,26,3,1,28,12, ,2, ,1,4,90, , , , ,4,2,2,2,1,0.8515508608479451,0.043240626545567484,4, , ,0.5328486220291491,4
1,26,4,1,28,12, ,2, ,2, , , , , , ,4,2,2,2,1,0.8515508608479451,0.043240626545567484,4, , ,0.5328486220291491,4
