HH1,HH2,TNLN,TN4,TN5,TN6,TN8,TN9,TN10,TN11,TN12_1,TN12_2,TN12_3,TN12_4,TN12_5,TN12_6,TN2,HH6,HH7,helevel,ethnicity,hhweight,wscore,windex5,wscoreu,windex5u,wscorer,windex5r
7,28,2,1,12,95, , , ,1,2,5,6,90, , ,2,2,3,1,2,0.7483641519569778,-0.6963326890673416,1, , ,-0.43699814065882603,2
7,29,1,1,12,95, , , ,2, , , , , , ,1,2,3,1,2,0.7483641519569778,-0.557491520812547,2, , ,-0.14287061233624104,4
7,30,1,1,12,2, , , ,1,1,2,4,5,7,90,1,2,3,1,2,0.7483641519569778,-0.22767586090717779,3, , ,0.5558260787779137,5
8,10,1,1,13,95, , , ,1,2,6,7,90, , ,2,2,3,1,2,0.9123891715639867,-0.5881560897980331,2, , ,-0.20783184823009807,4
8,10,2,1,13,95, , , ,1,3,4,5,90, , ,2,2,3,1,2,0.9123891715639867,-0.5881560897980331,2, , ,-0.20783184823009807,4
8,17,1,1,13,98, , , ,1,1,2,3,4,5,90,1,2,3,1,2,0.9123891715639867,-0.6298476178935897,2, , ,-0.29615310240043086,3
8,19,1,1,13,98, , , ,1,1,90, , , , ,1,2,3,2,2,0.9123891715639867,0.06729169101664345,3, , ,1.1806989322207995,5
8,23,1,1,13,95, , , ,2, , , , , , ,2,2,3,1,2,0.9123891715639867,-0.6849798725840978,1, , ,-0.41294781110823814,2
8,23,2,1,13,95, , , ,2, , , , , , ,2,2,3,1,2,0.9123891715639867,-0.6849798725840978,1, , ,-0.41294781110823814,2
8,25,1,1,13,98, , , ,1,1,90, , , , ,2,2,3,1,2,0.9123891715639867,-0.25428513037587613,3, , ,0.4994557762395842,5
8,25,2,1,13,98, , , ,1,2,3,4,5,90,90,2,2,3,1,2,0.9123891715639867,-0.25428513037587613,3, , ,0.4994557762395842,5
9,2,1,1,13,95, , , ,2, , , , , , ,1,2,3,1,2,0.8303766617604822,-0.6910946026421654,1, , ,-0.4259015370163833,2
9,3,1,9,13,95, , , ,2, , , , , , ,2,2,3,1,2,0.8303766617604822,-0.7012419733383379,1, , ,-0.4473981946673835,2
9,3,2,9,13,95, , , ,2, , , , , , ,2,2,3,1,2,0.8303766617604822,-0.7012419733383379,1, , ,-0.4473981946673835,2
9,7,1,2,12,95, , , ,1,1,2,90, , , ,1,2,3,1,2,0.8303766617604822,-0.6674747074611418,1, , ,-0.3758640627127694,2
9,10,1,1,11,24, , , ,2, , , , , , ,1,2,3,3,6,0.8303766617604822,1.8495605781040003,5, , ,4.95633946560522,5
9,12,1,1,12,18, , , ,1,1,90, , , , ,1,2,3,2,2,0.8303766617604822,1.8322351936062675,5, , ,4.919636572770115,5
9,21,1,1,13,95, , , ,2, , , , , , ,1,2,3,1,2,0.8303766617604822,-0.7143125920429785,1, , ,-0.47508759559627645,2
9,24,1,2,13,95, , , ,1,1,90, , , , ,1,2,3,3,6,0.8303766617604822,1.7206071264125045,5, , ,4.683158531654271,5
9,29,1,9,13,2, , , ,1,1,90, , , , ,1,2,3,2,2,0.8303766617604822,-0.33501321300418896,3, , ,0.3284376862296198,5
10,1,1,2,12,95, , , ,1,2,4,5,6,7,90,1,2,3,1,2,0.9328922990148625,-0.5989931560875413,2, , ,-0.23078958880565667,3
10,3,1,1,12,95, , , ,2, , , , , , ,1,2,3,1,2,0.9328922990148625,-0.43324378624749493,3, , ,0.12034151362509035,4
10,4,1,1,12,13, , , ,2, , , , , , ,1,2,3,1,2,0.9328922990148625,-0.6535196507997165,2, , ,-0.34630102766329385,3
10,5,1,2,12,95, , , ,2, , , , , , ,1,2,3,1,2,0.9328922990148625,-0.6708572600122186,1, , ,-0.383029817897454,2
10,11,1,1,12,10, , , ,2, , , , , , ,1,2,3,1,2,0.9328922990148625,-0.3879181556346295,3, , ,0.21636141801943579,5
10,17,1,1,12,24, , , ,2, , , , , , ,1,2,3,1,2,0.9328922990148625,-0.5562079969732223,2, , ,-0.14015153629309723,4
10,22,1,1,12,5, , , ,2, , , , , , ,2,2,3,1,2,0.9328922990148625,-0.7974776367210308,1, , ,-0.6512682583021895,1
10,22,2,1,12,5, , , ,2, , , , , , ,2,2,3,1,2,0.9328922990148625,-0.7974776367210308,1, , ,-0.6512682583021895,1
10,24,1,1,21,95, ,2, ,1,1,2,90, , , ,1,2,3,1,2,0.9328922990148625,-0.6613853705355962,2, , ,-0.36296413078661804,2
10,28,1,2,13,98, , , ,1,1,90, , , , ,1,2,3,1,2,0.9328922990148625,-0.613503861745628,2, , ,-0.2615297362927273,3
11,8,1,1,21,7, ,2, ,1,1,2,8,90, , ,2,2,3,2,2,0.7483641519569778,-0.24722784695721578,3, , ,0.5144062506175672,5
11,8,2,1,21,10, ,2, ,1,3,4,5,6,90,90,2,2,3,2,2,0.7483641519569778,-0.24722784695721578,3, , ,0.5144062506175672,5
11,10,1,1,13,95, , , ,1,1,2,90, , , ,1,2,3,2,2,0.7483641519569778,0.18272639101433796,4, , ,1.4252411196696473,5
11,13,1,1,13,95, , , ,1,1,4,90, , , ,1,2,3,1,2,0.7483641519569778,-0.6388785959833734,2, , ,-0.3152847425131736,3
11,14,1,1,13,7, , , ,2, , , , , , ,2,2,3,1,2,0.7483641519569778,-0.6276350454371677,2, , ,-0.29146588695833864,3
11,14,2,1,13,7, , , ,2, , , , , , ,2,2,3,1,2,0.7483641519569778,-0.6276350454371677,2, , ,-0.29146588695833864,3
11,19,1,1,11,24, , , ,1,1,90, , , , ,3,2,3,1,2,0.7483641519569778,-0.7396180058311783,1, , ,-0.5286957501822735,1
11,19,2,1,11,24, , , ,1,2,90, , , , ,3,2,3,1,2,0.7483641519569778,-0.7396180058311783,1, , ,-0.5286957501822735,1
11,19,3,1,11,24, , , ,1,3,4,90, , , ,3,2,3,1,2,0.7483641519569778,-0.7396180058311783,1, , ,-0.5286957501822735,1
11,23,1,1,12,6, , , ,1,2,4,5,6,90,90,1,2,3,1,2,0.7483641519569778,-0.8401246076692445,1, , ,-0.7416135666362685,1
11,25,1,1,13,95, , , ,1,1,90, , , , ,1,2,3,2,2,0.7483641519569778,-0.7172432034150477,1, , ,-0.481295937762909,2
11,26,1,1,13,95, , , ,1,2,90, , , , ,1,2,3,1,2,0.7483641519569778,-0.7336236999109723,1, , ,-0.5159971363166506,1
12,17,1,2,18,95, , , ,1,2,6,90, , , ,1,2,3,1,2,1.1891813921508136,-0.5964660834254196,2, , ,-0.22543612163634144,3
12,21,1,1,11,95, , , ,1,1,2,90, , , ,1,2,3,1,2,1.1891813921508136,-0.44984796012044437,3, , ,0.08516646660930428,4
12,23,1,1,13,98, , , ,1,1,3,4,5,90,90,2,2,3,1,2,1.1891813921508136,-0.5343999514423265,2, , ,-0.0939523677743084,4
12,23,2,1,13,98, , , ,1,2,90, , , , ,2,2,3,1,2,1.1891813921508136,-0.5343999514423265,2, , ,-0.0939523677743084,4
12,26,1,1,12,24, , , ,2, , , , , , ,1,2,3,1,2,1.1891813921508136,-0.8810408837729797,1, , ,-0.8282924912652431,1
12,30,1,1,12,95, , , ,2, , , , , , ,1,2,3,1,2,1.1891813921508136,-0.7051393586428746,1, , ,-0.45565459527934365,2
13,3,1,1,21,5, ,2, ,1,1,90, , , , ,3,2,3,1,2,0.9841501176420531,-0.6580342221161573,2, , ,-0.3558649035614274,2
13,3,2,1,21,5, ,2, ,9, , , , , , ,3,2,3,1,2,0.9841501176420531,-0.6580342221161573,2, , ,-0.3558649035614274,2
13,3,3,1,21,5, ,2, ,9, , , , , , ,3,2,3,1,2,0.9841501176420531,-0.6580342221161573,2, , ,-0.3558649035614274,2
13,7,1,1,12,1, , , ,1,1,2,90, , , ,1,2,3,1,2,0.9841501176420531,-0.6852167041076299,1, , ,-0.4134495259203576,2
13,17,1,1,13,95, , , ,2, , , , , , ,1,2,3,1,2,0.9841501176420531,-0.40690634149151805,3, , ,0.17613597016691365,5
13,28,1,1,12,98, , , ,1,1,2,7,90, , ,1,2,3,1,2,0.9841501176420531,0.047649996672009864,3, , ,1.1390890618756233,5
14,1,1,1,13,15, , , ,1,3,5,90, , , ,1,2,3,1,2,0.8918860441131103,-0.8188229518105139,1, , ,-0.6964871573323023,1
14,8,1,1,21,2, ,2, ,2, , , , , , ,1,2,3,1,2,0.8918860441131103,-0.6426830931848206,2, , ,-0.32334436468747246,3
14,28,1,1,13,8, , , ,2, , , , , , ,1,2,3,1,2,0.8918860441131103,-0.7763801225987859,1, , ,-0.6065743122591905,1
15,2,1,1,12,95, , , ,2, , , , , , ,1,2,3,1,2,1.0764141911709952,-0.30950468130478354,3, , ,0.3824761351579357,5
15,21,1,1,12,95, , , ,2, , , , , , ,1,2,3,3,2,1.0764141911709952,2.832930366397707,5, , ,7.039555336615031,5
16,18,1,1,21,95, ,2, ,2, , , , , , ,1,2,3,1,2,1.1584267009744995,-0.041146704471138884,3, , ,0.9509780386198702,5
16,23,1,1,12,95, , , ,2, , , , , , ,1,2,3,1,2,1.1584267009744995,-0.3508507911930986,3, , ,0.29488663083392447,5
16,25,1,1,11,95, , , ,2, , , , , , ,1,2,3,1,2,1.1584267009744995,-0.5107658836778235,2, , ,-0.04388486961681059,4
17,1,1,1,11,95, , , ,2, , , , , , ,1,2,3,1,2,0.5843391323499689,-0.36739339275656346,3, , ,0.25984202143566526,5
17,6,1,1,12,12, , , ,2, , , , , , ,1,2,3,1,2,0.5843391323499689,-0.5132434645326017,2, , ,-0.04913349106097751,4
17,15,1,1,11,95, , , ,1,2,4,90, , , ,1,2,3,1,2,0.5843391323499689,-0.5693100600454922,2, , ,-0.16790755041926259,4
17,20,1,2,12,95, , , ,2, , , , , , ,3,2,3,1,2,0.5843391323499689,-0.54424538836977,2, , ,-0.11480939501719785,4
17,20,2,2,12,95, , , ,2, , , , , , ,3,2,3,1,2,0.5843391323499689,-0.54424538836977,2, , ,-0.11480939501719785,4
17,20,3,2,12,95, , , ,2, , , , , , ,3,2,3,1,2,0.5843391323499689,-0.54424538836977,2, , ,-0.11480939501719785,4
17,21,1,1,12,5, , , ,1,4,5,90, , , ,1,2,3,1,2,0.5843391323499689,-0.0895119615605014,3, , ,0.8485188494384991,5
18,1,1,2,13,98, , , ,1,8,90, , , , ,5,1,3,2,2,1.046332180024715,2.580851928169185,5,1.6909297476987766,5, , 
18,1,2,2,13,98, , , ,2, , , , , , ,5,1,3,2,2,1.046332180024715,2.580851928169185,5,1.6909297476987766,5, , 
18,1,3,2,13,98, , , ,9, , , , , , ,5,1,3,2,2,1.046332180024715,2.580851928169185,5,1.6909297476987766,5, , 
18,1,4,2,13,98, , , ,2, , , , , , ,5,1,3,2,2,1.046332180024715,2.580851928169185,5,1.6909297476987766,5, , 
18,1,5,2,13,98, , , ,2, , , , , , ,5,1,3,2,2,1.046332180024715,2.580851928169185,5,1.6909297476987766,5, , 
18,2,1,1,12,95, , , ,1,1,2,90, , , ,1,1,3,3,6,1.046332180024715,0.5308874350926491,4,-0.1365366092719058,3, , 
18,3,1,1,11,95, , , ,1,2,3,4,90, , ,1,1,3,3,2,1.046332180024715,0.9820750915829668,4,0.26568024165465143,4, , 
18,4,1,1,21,3, ,1,3,1,3,7,90, , , ,6,1,3,2,2,1.046332180024715,3.599138389210256,5,2.598693884880746,5, , 
18,4,2,1,21,3, ,1,3,1,5,4,90, , , ,6,1,3,2,2,1.046332180024715,3.599138389210256,5,2.598693884880746,5, , 
18,4,3,1,21,3, ,1,99,1,6,90, , , , ,6,1,3,2,2,1.046332180024715,3.599138389210256,5,2.598693884880746,5, , 
