HH1,HH2,TNLN,TN4,TN5,TN6,TN8,TN9,TN10,TN11,TN12_1,TN12_2,TN12_3,TN12_4,TN2,HH6,HH7,helevel,wscore,windex5,PSU,stratum,hhweight
95,9,1,1,11,0, , , ,2, , , , ,4,2,1,1,-0.9826024731897028,2,95,5,1.617169
95,9,2,1,11,0, , , ,2, , , , ,4,2,1,1,-0.9826024731897028,2,95,5,1.617169
95,9,3,1,11,0, , , ,2, , , , ,4,2,1,1,-0.9826024731897028,2,95,5,1.617169
95,9,4,1,11,0, , , ,2, , , , ,4,2,1,1,-0.9826024731897028,2,95,5,1.617169
95,10,1,1,11,0, , , ,2, , , , ,7,2,1,3,-0.5963392620407982,3,95,5,1.617169
95,10,2,1,11,0, , , ,2, , , , ,7,2,1,3,-0.5963392620407982,3,95,5,1.617169
95,10,3,1,11,0, , , ,2, , , , ,7,2,1,3,-0.5963392620407982,3,95,5,1.617169
95,10,4,1,11,0, , , ,2, , , , ,7,2,1,3,-0.5963392620407982,3,95,5,1.617169
95,10,5,1,11,0, , , ,2, , , , ,7,2,1,3,-0.5963392620407982,3,95,5,1.617169
95,10,6,1,11,0, , , ,2, , , , ,7,2,1,3,-0.5963392620407982,3,95,5,1.617169
95,10,7,1,11,0, , , ,2, , , , ,7,2,1,3,-0.5963392620407982,3,95,5,1.617169
95,11,1,1,11,0, , , ,2, , , , ,2,2,1,2,-1.8502386765927443,1,95,5,1.617169
95,11,2,1,11,0, , , ,2, , , , ,2,2,1,2,-1.8502386765927443,1,95,5,1.617169
95,12,1,1,11,0, , , ,2, , , , ,3,2,1,2,0.41447498009439177,4,95,5,1.617169
95,12,2,1,11,0, , , ,2, , , , ,3,2,1,2,0.41447498009439177,4,95,5,1.617169
95,12,3,1,11,0, , , ,2, , , , ,3,2,1,2,0.41447498009439177,4,95,5,1.617169
95,13,1,1,11,0, , , ,2, , , , ,2,2,1,1,-1.2988909524558723,1,95,5,1.617169
95,13,2,1,11,0, , , ,2, , , , ,2,2,1,1,-1.2988909524558723,1,95,5,1.617169
95,15,1,1,11,0, , , ,2, , , , ,3,2,1,1,-0.8545963381422824,2,95,5,1.617169
95,15,2,1,11,0, , , ,2, , , , ,3,2,1,1,-0.8545963381422824,2,95,5,1.617169
95,15,3,1,11,0, , , ,2, , , , ,3,2,1,1,-0.8545963381422824,2,95,5,1.617169
97,1,1,1,11,1, , , ,2, , , , ,1,2,1,1,-0.9258960676555046,2,97,5,1.617169
97,2,1,1,11,1, , , ,2, , , , ,3,2,1,2,-0.40964110391740743,3,97,5,1.617169
97,2,2,1,11,1, , , ,2, , , , ,3,2,1,2,-0.40964110391740743,3,97,5,1.617169
97,2,3,1,16,95, , , ,2, , , , ,3,2,1,2,-0.40964110391740743,3,97,5,1.617169
97,3,1,1,11,1, , , ,2, , , , ,2,2,1,1,-0.22474105803451444,3,97,5,1.617169
97,3,2,1,11,1, , , ,2, , , , ,2,2,1,1,-0.22474105803451444,3,97,5,1.617169
97,4,1,1,11,1, , , ,2, , , , ,6,2,1,9,-0.7993069698139391,2,97,5,1.617169
97,4,2,1,11,1, , , ,2, , , , ,6,2,1,9,-0.7993069698139391,2,97,5,1.617169
97,4,3,1,11,1, , , ,2, , , , ,6,2,1,9,-0.7993069698139391,2,97,5,1.617169
97,4,4,1,11,1, , , ,2, , , , ,6,2,1,9,-0.7993069698139391,2,97,5,1.617169
97,4,5,1,11,1, , , ,2, , , , ,6,2,1,9,-0.7993069698139391,2,97,5,1.617169
