HH1,HH2,TNLN,TN3,TN4,TN5,TN10,TN12,TN13,TN15_1,TN15_2,TN15_3,TN15_4,TN1,TN2,HH4,HH6,HH7,ethnicity,helevel,hhweight,wscore,windex5,windex10,wscoreu,windex5u,windex10u,wscorer,windex5r,windex10r,PSU,stratum
1,14,2,1,15,13,1, ,2, , , , ,1,2,10,2,1,96,1,0.4326071227614211,-0.7430598715189869,1,2, , , ,-0.7344600447712882,1,2,1,1012
1,15,1,1,12,12,1, ,1,1,90, , ,1,3,10,2,1,96,1,0.4326071227614211,-0.668171022415966,2,3, , , ,-0.6280838386590427,2,3,1,1012
1,15,2,2,12,12,1, ,2, , , , ,1,3,10,2,1,96,1,0.4326071227614211,-0.668171022415966,2,3, , , ,-0.6280838386590427,2,3,1,1012
1,15,3,2,12,12,1, ,2, , , , ,1,3,10,2,1,96,1,0.4326071227614211,-0.668171022415966,2,3, , , ,-0.6280838386590427,2,3,1,1012
1,16,1,1,2,14,2, ,1,1,2,90, ,1,2,10,2,1,96,0,0.4326071227614211,-0.3917388575673008,3,5, , , ,-0.23542451358991595,3,6,1,1012
1,16,2,1,2,14,2, ,1,3,4,90, ,1,2,10,2,1,96,0,0.4326071227614211,-0.3917388575673008,3,5, , , ,-0.23542451358991595,3,6,1,1012
1,18,1,1,6,12,1, ,1,1,6,90, ,1,3,10,2,1,96,1,0.4326071227614211,-0.1504246379976561,4,7, , , ,0.10735136648060217,4,8,1,1012
1,18,2,1,6,12,1, ,1,2,5,90, ,1,3,10,2,1,96,1,0.4326071227614211,-0.1504246379976561,4,7, , , ,0.10735136648060217,4,8,1,1012
1,18,3,1,6,12,1, ,1,3,4,90, ,1,3,10,2,1,96,1,0.4326071227614211,-0.1504246379976561,4,7, , , ,0.10735136648060217,4,8,1,1012
1,19,1,1,12,12,1, ,2, , , , ,1,3,10,2,1,96,0,0.4326071227614211,-0.10247714828188889,4,7, , , ,0.17545859619049875,4,8,1,1012
1,19,2,1,12,12,1, ,1,3,4,90, ,1,3,10,2,1,96,0,0.4326071227614211,-0.10247714828188889,4,7, , , ,0.17545859619049875,4,8,1,1012
1,19,3,2,12,12,1, ,1,1,2,90, ,1,3,10,2,1,96,0,0.4326071227614211,-0.10247714828188889,4,7, , , ,0.17545859619049875,4,8,1,1012
1,20,1,1,6,13,1, ,1,1,2,90, ,1,2,10,2,1,96,2,0.4326071227614211,-0.30527685321431713,3,6, , , ,-0.11260916649760958,4,7,1,1012
1,20,2,1,6,13,1, ,1,3,90, , ,1,2,10,2,1,96,2,0.4326071227614211,-0.30527685321431713,3,6, , , ,-0.11260916649760958,4,7,1,1012
1,21,1,1,7,12,1, ,1,2,6,90, ,1,3,10,2,1,96,1,0.4326071227614211,-0.601457156702218,2,3, , , ,-0.5333198248611051,2,4,1,1012
1,21,2,1,7,12,1, ,1,3,4,90, ,1,3,10,2,1,96,1,0.4326071227614211,-0.601457156702218,2,3, , , ,-0.5333198248611051,2,4,1,1012
1,21,3,1,7,12,1, ,1,5,90, , ,1,3,10,2,1,96,1,0.4326071227614211,-0.601457156702218,2,3, , , ,-0.5333198248611051,2,4,1,1012
1,22,1,1,8,12,1, ,1,3,6,90, ,1,4,10,2,1,96,1,0.4326071227614211,0.22598292000571688,4,8, , , ,0.6420211931899388,5,9,1,1012
1,22,2,1,8,12,1, ,1,4,5,90, ,1,4,10,2,1,96,1,0.4326071227614211,0.22598292000571688,4,8, , , ,0.6420211931899388,5,9,1,1012
1,22,3,1,8,12,1, ,1,1,2,7,90,1,4,10,2,1,96,1,0.4326071227614211,0.22598292000571688,4,8, , , ,0.6420211931899388,5,9,1,1012
1,22,4,1,8,12,1, ,1,0,90, , ,1,4,10,2,1,96,1,0.4326071227614211,0.22598292000571688,4,8, , , ,0.6420211931899388,5,9,1,1012
1,23,1,1,4,12,1, ,1,1,2,3,90,1,3,10,2,1,96,1,0.4326071227614211,0.48663154132975905,4,8, , , ,1.012260712116135,5,9,1,1012
1,23,2,1,4,12,1, ,2, , , , ,1,3,10,2,1,96,1,0.4326071227614211,0.48663154132975905,4,8, , , ,1.012260712116135,5,9,1,1012
1,23,3,1,4,12,1, ,2, , , , ,1,3,10,2,1,96,1,0.4326071227614211,0.48663154132975905,4,8, , , ,1.012260712116135,5,9,1,1012
1,24,1,1,7,15,3, ,2, , , , ,1,3,10,2,1,96,1,0.4326071227614211,-0.07919759820032693,4,7, , , ,0.20852613891999017,4,8,1,1012
1,24,2,1,16,12,1, ,1,2,3,90, ,1,3,10,2,1,96,1,0.4326071227614211,-0.07919759820032693,4,7, , , ,0.20852613891999017,4,8,1,1012
1,24,3,1,16,12,1, ,1,1,4,0,90,1,3,10,2,1,96,1,0.4326071227614211,-0.07919759820032693,4,7, , , ,0.20852613891999017,4,8,1,1012
2,1,1,1,2,12,1, ,1,1,2,90, ,1,1,10,2,1,96,1,0.2915139602977914,-0.40292057753237065,3,5, , , ,-0.25130763854029925,3,6,2,1012
2,2,1,1,95,18,2, ,1,4,3,90, ,1,2,10,2,1,96,1,0.2915139602977914,0.20414303445914286,4,8, , , ,0.6109986284931007,5,9,2,1012
