HH1,HH2,TNLN,TN4,TN5,TN6,TN8,TN9,TN10,TN11,TN12_1,TN12_2,TN12_3,TN12_4,TN2,HH6,HH7,helevel,hhweight,wscore,windex5,wscoreu,windex5u,wscorer,windex5r
3,12,3,1,98,3,1,2, ,2, , , , ,3,1,0,3,1.2645530887176573,1.1801855451253709,5,-0.014354370145952677,3, , 
3,13,1,2,98,95,2,2, ,2, , , , ,2,1,0,4,1.2645530887176573,1.5880000543444672,5,1.2249329110887477,5, , 
3,13,2,2,98,6,2,2, ,2, , , , ,2,1,0,4,1.2645530887176573,1.5880000543444672,5,1.2249329110887477,5, , 
3,15,1,2,98,12,2,2, ,1,1,2,8,90,3,1,0,3,1.2645530887176573,1.687377745445612,5,1.5269268466550616,5, , 
3,15,2,2,98,12,2,2, ,2, , , , ,3,1,0,3,1.2645530887176573,1.687377745445612,5,1.5269268466550616,5, , 
3,15,3,2,98,12,2,2, ,2, , , , ,3,1,0,3,1.2645530887176573,1.687377745445612,5,1.5269268466550616,5, , 
3,20,1,9,36,95,1,1,9,2, , , , ,3,1,0,3,1.2645530887176573,1.5767210989886657,5,1.1906578531835639,5, , 
3,20,2,9,36,95,1,1,9,2, , , , ,3,1,0,3,1.2645530887176573,1.5767210989886657,5,1.1906578531835639,5, , 
3,20,3,9,36,95,1,1,9,2, , , , ,3,1,0,3,1.2645530887176573,1.5767210989886657,5,1.1906578531835639,5, , 
3,22,1,1,11,24, , , ,2, , , , ,2,1,0,4,1.2645530887176573,1.6035553095001962,5,1.2722030043175758,5, , 
3,22,2,1,13,30, , , ,2, , , , ,2,1,0,4,1.2645530887176573,1.6035553095001962,5,1.2722030043175758,5, , 
3,23,1,1,13,12, , , ,2, , , , ,1,1,0,3,1.2645530887176573,0.8855458870556898,4,-0.9097202105921185,1, , 
3,24,1,1,12,8, , , ,2, , , , ,1,1,0,2,1.2645530887176573,1.012071679341198,4,-0.5252272570975853,2, , 
3,25,1,1,14,4, , , ,2, , , , ,3,1,0,4,1.2645530887176573,2.099887331819211,5,2.78048176494155,5, , 
3,25,2,1,98,4,2,2, ,2, , , , ,3,1,0,4,1.2645530887176573,2.099887331819211,5,2.78048176494155,5, , 
3,25,3,1,14,4, , , ,1,1,2,90, ,3,1,0,4,1.2645530887176573,2.099887331819211,5,2.78048176494155,5, , 
4,2,1,2,98,95,2,2, ,2, , , , ,2,1,0,4,0.88115135437241,1.441355324406123,5,0.779301516019743,4, , 
4,2,2,2,98,95,2,2, ,2, , , , ,2,1,0,4,0.88115135437241,1.441355324406123,5,0.779301516019743,4, , 
4,7,1,2,98,28,1,2, ,1,1,90, , ,3,1,0,2,0.88115135437241,1.4345793631302155,5,0.7587103834397604,4, , 
4,7,2,2,98,28,1,2, ,1,3,90, , ,3,1,0,2,0.88115135437241,1.4345793631302155,5,0.7587103834397604,4, , 
4,7,3,2,98,28,1,2, ,2, , , , ,3,1,0,2,0.88115135437241,1.4345793631302155,5,0.7587103834397604,4, , 
4,8,1,1,12,98, , , ,2, , , , ,2,1,0,3,0.88115135437241,1.0382908928856793,4,-0.44555098973801577,2, , 
4,8,2,1,11,98, , , ,2, , , , ,2,1,0,3,0.88115135437241,1.0382908928856793,4,-0.44555098973801577,2, , 
4,11,1,1,98,95,1,2, ,2, , , , ,2,1,0,4,0.88115135437241,1.3931994204418803,5,0.6329629283772336,4, , 
4,11,2,1,98,95,1,2, ,2, , , , ,2,1,0,4,0.88115135437241,1.3931994204418803,5,0.6329629283772336,4, , 
4,12,1,1,98,23,8,2, ,2, , , , ,2,1,0,4,0.88115135437241,2.03658871457469,5,2.588126737110173,5, , 
4,12,2,1,98,23,8,2, ,2, , , , ,2,1,0,4,0.88115135437241,2.03658871457469,5,2.588126737110173,5, , 
4,14,1,1,13,24, , , ,2, , , , ,1,1,0,3,0.88115135437241,1.023896909287644,4,-0.4892921524384398,2, , 
4,18,1,2,98,95,2,2, ,2, , , , ,1,1,0,4,0.88115135437241,1.7563502473884942,5,1.7365239612266465,5, , 
4,19,1,1,12,95, , , ,1,1,90, , ,3,1,0,4,0.88115135437241,1.7869935933329169,5,1.8296445050643735,5, , 
4,19,2,1,12,95, , , ,1,2,3,90, ,3,1,0,4,0.88115135437241,1.7869935933329169,5,1.8296445050643735,5, , 
4,19,3,1,98,95,2,2, ,2, , , , ,3,1,0,4,0.88115135437241,1.7869935933329169,5,1.8296445050643735,5, , 
