DHSID,GPS Dataset,DHSCC,DHSYEAR,DHSCLUST,SurveyID,All Population Count 2005,All Population Count 2010,All Population Count 2015,Annual Precipitation 2000,Annual Precipitation 2005,Annual Precipitation 2010,Annual Precipitation 2015,Aridity 2000,Aridity 2005,Aridity 2010,Aridity 2015,BUILT Population 1990,BUILT Population 2000,BUILT Population 2014,Day Land Surface Temp 2000,Day Land Surface Temp 2005,Day Land Surface Temp 2010,Day Land Surface Temp 2015,Diurnal Temperature Range 2000,Diurnal Temperature Range 2005,Diurnal Temperature Range 2010,Diurnal Temperature Range 2015,Drought Episodes,Enhanced Vegetation Index 1985,Enhanced Vegetation Index 1990,Enhanced Vegetation Index 1995,Enhanced Vegetation Index 2000,Enhanced Vegetation Index 2005,Enhanced Vegetation Index 2010,Enhanced Vegetation Index 2015,Frost Days 2000,Frost Days 2005,Frost Days 2010,Frost Days 2015,Global Human Footprint,Gross Cell Production,Growing Season Length,Irrigation,ITN Coverage 2005,ITN Coverage 2010,ITN Coverage 2015,Land Surface Temperature 2000,Land Surface Temperature 2005,Land Surface Temperature 2010,Land Surface Temperature 2015,Livestock Cattle,Livestock Chickens,Livestock Ducks,Livestock Goats,Livestock Pigs,Livestock Sheep,Malaria Incidence 2000,Malaria Incidence 2005,Malaria Incidence 2010,Malaria Incidence 2015,Malaria Prevalence 2000,Malaria Prevalence 2005,Malaria Prevalence 2010,Malaria Prevalence 2015,Maximum Temperature 2000,Maximum Temperature 2005,Maximum Temperature 2010,Maximum Temperature 2015,Mean Temperature 2000,Mean Temperature 2005,Mean Temperature 2010,Mean Temperature 2015,Minimum Temperature 2000,Minimum Temperature 2005,Minimum Temperature 2010,Minimum Temperature 2015,Nightlights Composite,Night Land Surface Temp 2000,Night Land Surface Temp 2005,Night Land Surface Temp 2010,Night Land Surface Temp 2015,PET 2000,PET 2005,PET 2010,PET 2015,Proximity to National Borders,Proximity to Protected Areas,Proximity to Water,Rainfall 1985,Rainfall 1990,Rainfall 1995,Rainfall 2000,Rainfall 2005,Rainfall 2010,Rainfall 2015,Slope,SMOD Population 1990,SMOD Population 2000,SMOD Population 2015,Temperature April,Temperature August,Temperature December,Temperature February,Temperature January,Temperature July,Temperature June,Temperature March,Temperature May,Temperature November,Temperature October,Temperature September,Travel Times 2000,Travel Times 2015,U5 Population 2000,U5 Population 2005,U5 Population 2010,U5 Population 2015,UN Population Count 2000,UN Population Count 2005,UN Population Count 2010,UN Population Count 2015,UN Population Density 2000,UN Population Density 2005,UN Population Density 2010,UN Population Density 2015,Wet Days 2000,Wet Days 2005,Wet Days 2010,Wet Days 2015
MW201700000001,MWGE7IFL,MW,2017,1,MW2017MIS,27192.14453,31648.12695,36985.64063,80.55000305175781,64.25,65.27500153,58.53333282470703,24.28643226623535,17.171491622924805,18.69451141357422,16.884614944458008,0.000217996,0.000375105,0.000690048,30.29469807942708,31.248611450195312,31.611249287923176,31.01569366455078,11.69166660308838,11.908333778381348,11.666666984558104,11.475000381469728,7,2617.833333333333,2659.583333333333,2776.9166666666665,2795.333333333333,2978.1666666666665,2826.083333333333,2883.6666666666665,0.027499998,0,0,0,36.256,733.800293,8,0.4007903039455414,0.1586955397615934,0.286246278,0.5988686731939438,23.20775095621745,24.19579060872396,24.21171824,24.02868143717448,6.115677083333333,31.657833333333333,-1,1.3179029947916667,4.078415690104166,0.51817041,0.3422719410487583,0.1892452069691249,0.092849195,0.1194325174604143,0.2952252115522112,0.1281244925090245,0.051464719,0.071663976,25.150001525878903,26.06666755676269,25.67500114440918,25.46666717529297,19.275001525878903,20.100000381469727,19.81666755676269,19.700000762939453,13.458333969116213,14.158333778381348,14.008333206176758,13.991666793823242,0.003676193,16.12080256144206,17.14296595255534,16.812183380126953,17.041666666666668,3.316666841506958,3.741666793823242,3.491666793823242,3.4666666984558105,817.0541711,91665.88873,74762.14616,1348.8333333333333,953.3333333333334,1053.0833333333333,1141.3333333333333,849.75,949.25,1260.75,1.7650309244791669,0,0,1,20.316999435424805,18.57250022888184,21.25175094604492,21.01475143432617,20.732749938964844,17.62350082397461,17.92300033569336,20.890499114990234,19.061500549316406,22.60125160217285,22.79874992370605,20.95800018310547,247.6533333333333,120.13333333333334,10.10632324,11.56005467705548,13.44848241143048,15.712569456049463,21778.7793,24642.67969,28279.5625,32426.63867,68.42477083333333,77.42296875,88.84983333333334,101.87976041666668,9.023332595825195,7.780833244,8.260000228881836,7.976666450500488
MW201700000002,MWGE7IFL,MW,2017,2,MW2017MIS,18927.48828,21926.68359,25556.23047,80.55000305175781,64.25,65.27500153,58.53333282470703,24.28643226623535,17.171491622924805,18.69451141357422,16.884614944458008,6.047897757245944e-05,0.000259266,0.000455946,29.291061401367188,30.924723307291668,30.32263692220052,30.362223307291668,11.69166660308838,11.908333778381348,11.666666984558104,11.475000381469728,7,2648.833333333333,2709.1666666666665,2852.333333333333,2863.583333333333,3022.083333333333,2914.4166666666665,2933.1666666666665,0.027499998,0,0,0,37.67204301075269,733.800293,8,0.053282077,0.1985745445973899,0.2621537844902198,0.7263983609123513,22.83689371744792,24.26104227701823,23.82659657796224,23.893836975097656,0.3656879660271447,50.76225284852547,-1,0.410583742,4.163475711607742,0.007089223,0.4313199361165364,0.2690973281860351,0.1262700875600179,0.148510456,0.3944703420003255,0.2023180802663167,0.07276988,0.09299109,25.150001525878903,26.06666755676269,25.67500114440918,25.46666717529297,19.275001525878903,20.100000381469727,19.81666755676269,19.700000762939453,13.458333969116213,14.158333778381348,14.008333206176758,13.991666793823242,0.002504747,16.382726033528645,17.597361246744793,17.330556233723957,17.42545445760091,3.316666841506958,3.741666793823242,3.491666793823242,3.4666666984558105,3601.769036,61639.08135,60820.23193,1035.1,731.6,869.4,1012.6,734.6,868,983.8,1.476757714320124,1,1,1,20.062666575113933,18.28366724650065,21.170332590738933,20.632667541503903,20.65966797,17.117332458496094,17.435999552408855,20.78700002034505,18.75299962361653,22.724334716796875,22.805333455403645,20.78566614786784,321.5951742627346,188.4959785522788,7.538743689,8.585236245013299,9.945250815533576,11.591395601313163,16636.05469,19698.88867,23616.49609,28207.35156,52.58902689343164,62.27110212801609,74.65525511,89.16764410187668,9.023332595825195,7.780833244,8.260000228881836,7.976666450500488
MW201700000003,MWGE7IFL,MW,2017,3,MW2017MIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW201700000004,MWGE7IFL,MW,2017,4,MW2017MIS,11829.19238,13705.46094,15974.64355,79.16666412353516,67.74166870117188,73.02500153,60.74166870117188,22.727272033691406,17.113683700561523,19.69213485717773,16.490949630737305,0.000118085,0.000150766,0.000215826,28.615950150923297,28.65985107421875,28.738786177201703,28.57484852183949,11.083333969116213,11.300000190734863,11.083333969116213,11.02500057220459,7,2810.6363636363635,2832.3636363636365,2969.818181818182,3049.5454545454545,3340.454545454545,3258.6363636363635,3319.5454545454545,0,0,0,0,19.775067750677508,794.2575334821429,8,0.016907282,0.2100059273040392,0.2150256395801778,0.7070701504230429,22.124461780894887,22.586667147549715,22.58605957,22.617727106267758,0.3441128108812415,35.24576469089674,-1,0.8817634582519531,3.291968304177989,0.005015012,0.2645140647888183,0.2070539792378743,0.1618076801300048,0.1650289853413899,0.2959259033203125,0.2060329596201578,0.1442926088968912,0.1534001350402832,26.875,27.83333396911621,27.483333587646484,27.31666755676269,21.31666755676269,22.15833282470703,21.916667938232425,21.78333282470703,15.791666984558104,16.53333282470703,16.399999618530273,16.291667938232422,0.000994333,15.63297479802912,16.513485995205965,16.433332963423297,16.660605690696023,3.4833333492279053,3.9583334922790527,3.7083334922790527,3.683333396911621,9333.229082,5199.988998,46857.85443,1178.6,812.9,1043.2,997.9,835,1000.1,998.8,2.813806285028872,1,1,0,18.99349975585937,16.30875015258789,20.091249465942383,19.92449951171875,19.81624984741211,15.262749671936035,15.650250434875488,19.76324844360352,17.31224822998047,21.10649871826172,20.762001037597656,18.492250442504883,394.0652173913044,243.70652173913044,4.938932029149866,5.624885805191532,6.517037340389785,7.596041771673387,8828.558594,10818.17871,13422.00977,16599.68359,28.34020996,34.72701362941576,43.08547044836956,53.28600543478261,7.354166507720947,6.527500152587891,7.464166641235352,6.567499638
MW201700000005,MWGE7IFL,MW,2017,5,MW2017MIS,63178.96484,73220.82813,85358.07031,72.57500457763672,62.64167022705078,66.35833740234375,57.46666717529297,18.76939582824707,14.624513626098633,16.38477325439453,14.247934341430664,0.031486928,0.05498801,0.066632201,30.262725830078125,29.914998372395832,30.15972391764323,30.20916748046875,10.30833339691162,10.541666984558104,10.333333969116213,10.241666793823242,7,3122.1666666666665,3838.1666666666665,3529.5,3429.5,3608.8333333333335,3460.833333333333,3466.5,0,0,0,0,34.38135593220339,733.800293,8,1.9198150634765625,0.2475704929658011,0.2934565526224681,0.7581002537105578,24.88939412434896,25.624305725097656,25.459444681803387,25.917917887369796,2.505419922,168.7401406,-1,7.841249512,16.82022656,0.3051457824707031,0.3638484875361125,0.2885463039080302,0.1912606358528137,0.2226265668869018,0.3177178899447123,0.2277867396672566,0.125693679,0.1600313385327657,29.733333587646484,30.64166641235352,30.26666831970215,30.09166717529297,24.55000114440918,25.34166717529297,25.075000762939453,24.95833396911621,19.42500114440918,20.100000381469727,19.933334350585938,19.850000381469727,0.003914904,19.51605987548828,21.33361053466797,20.759165445963543,21.626668294270832,3.866666793823242,4.2833333015441895,4.050000190734863,4.0333333015441895,7032.106594,45559.45674,2416.824248,1319.8333333333333,878.3333333333334,1170,1134.8333333333333,829.3333333333334,1067.3333333333333,1371.1666666666667,0.7698782348632812,1,1,2,24.53466542561849,22.41566467285156,25.857332865397137,25.108665466308597,25.218332926432293,21.403666178385414,21.80799865722656,24.91766611735026,23.242335001627605,26.84666697184245,26.277999877929688,24.358668009440105,270.008,92.748,38.83403435654528,44.23696635088583,51.26374108021653,59.75833538385827,56520.75781,64186.69531,73814.51563,84599.74219,276.9742093373494,314.5416666666667,361.7301079317269,414.5867218875502,7.057499885559082,6.396666526794434,6.945833206176758,6.175833225250244
MW201700000006,MWGE7IFL,MW,2017,6,MW2017MIS,93340.05469,108815.2031,127289.0625,72.57500457763672,62.64167022705078,66.35833740234375,57.46666717529297,18.76939582824707,14.624513626098633,16.38477325439453,14.247934341430664,0.008395792,0.012105444,0.02086349,29.88109130859375,30.321832275390623,30.27099914550781,30.47066650390625,10.30833339691162,10.541666984558104,10.333333969116213,10.241666793823242,7,3169.8,3645.7,3552,3525.4,3742.5,3564.5,3546.8,0,0,0,0,31.39130434782609,733.800293,8,9.079220772,0.2034147379421066,0.3188506519293919,0.6770639279959401,24.004454040527342,24.94676513671875,24.940667724609376,25.31287078857422,7.094111328,224.76895833333333,-1,48.44285938,14.299587239583332,0.000332762,0.336960506,0.269744873,0.1720259666442871,0.1995137532552083,0.3069738705952962,0.2189692815144856,0.1154884179433186,0.1449080467224121,29.733333587646484,30.64166641235352,30.26666831970215,30.09166717529297,24.55000114440918,25.34166717529297,25.075000762939453,24.95833396911621,19.42500114440918,20.100000381469727,19.933334350585938,19.850000381469727,0.043505375,18.127818298339843,19.571696472167968,19.61033325195313,20.15507659912109,3.866666793823242,4.2833333015441895,4.050000190734863,4.0333333015441895,214.9872311,57045.81982,10210.61594,1530.5833333333333,983.3333333333334,1315.9166666666667,1289.8333333333333,943.5833333333334,1229.1666666666667,1544.8333333333333,0.537515381,1,1,1,24.37300109863281,22.201499938964844,25.899250030517575,25.09399986,25.197751998901367,21.196250915527344,21.63249969482422,24.814998626708984,23.126251220703125,26.72800064086914,26.166000366210938,24.29024887084961,258.72,56.57333333333333,30.92040754512032,35.42736881684492,41.27933865307487,48.27276905080214,90994.73438,104582.8516,121636.1719,141051.625,286.00083333333333,328.708625,382.30758333333335,443.3306666666667,7.057499885559082,6.396666526794434,6.945833206176758,6.175833225250244
MW201700000007,MWGE7IFL,MW,2017,7,MW2017MIS,3197.177734,3704.29248,4317.604492,79.16666412353516,67.74166870117188,73.02500153,60.74166870117188,22.727272033691406,17.113683700561523,19.69213485717773,16.490949630737305,1.3075933992108212e-05,0.000107237,0.00183697,27.01381836,28.49550170898437,28.10050048828125,28.56533203,11.083333969116213,11.300000190734863,11.083333969116213,11.02500057220459,7,2965.5,3069.7,3207.8,3164.1,3495.3,3525.6,3490.6,0,0,0,0,14.206989247311828,766.0442057291667,8,0,0.2340506660333384,0.2567122382730643,0.739668152,22.16981811523437,23.394000244140624,23.194667053222656,23.52892456054688,0.5943114082768278,24.053287146226417,-1,0.2123196748389066,17.981616408355794,0.001145313,0.3951786756515503,0.3143576383590698,0.2068285942077636,0.2299694120883941,0.3509538173675537,0.254295677,0.1393878608942031,0.1673098653554916,26.875,27.83333396911621,27.483333587646484,27.31666755676269,21.31666755676269,22.15833282470703,21.916667938232425,21.78333282470703,15.791666984558104,16.53333282470703,16.399999618530273,16.291667938232422,0.1003891390334192,17.32581787109375,18.29250183105469,18.288833618164062,18.492515563964844,3.4833333492279053,3.9583334922790527,3.7083334922790527,3.683333396911621,27830.81288,19636.57944,28805.84848,1137.2,806.1,1120.8,1103.7,780.8,1046.1,1190.6,3.647177313,1,1,0,21.14725112915039,18.706750869750977,22.48725128173828,21.92750168,21.89025115966797,17.570249557495117,17.98149871826172,21.775001525878903,19.631750106811523,23.63599777,23.28400039672852,20.903499603271484,346.8409703504043,200.75471698113208,1.2962802714947363,1.476319168859831,1.710483217112898,1.9936840755553715,2850.648926,3412.111816,4133.9375,4999.931641,9.066199618851078,10.85188034345519,13.147579388477087,15.901796243261456,7.354166507720947,6.527500152587891,7.464166641235352,6.567499638
MW201700000008,MWGE7IFL,MW,2017,8,MW2017MIS,26412.97656,30602.42578,35669.20313,,,,,,,,,0.02730443,0.030326266,0.037519966,30.05036315917969,30.616998291015623,30.437335205078124,30.84800109863281,,,,,7,2664.8,3412.8,3187.4,3068.2,3296.8,3072.4,3133.2,,,,,40.26811594202898,989.2578125,8,0.029005356,0.2732463962676315,0.2672653337036335,0.7437890507609847,25.650363159179687,26.15333251953125,26.078167724609376,26.520834350585936,5.203815660978618,234.4636872944079,-1,12.876032779091284,11.71240234,1.0019534261603105,0.3237413962682088,0.2842192649841308,0.2324941953023274,0.2309346199035644,0.2663833101590474,0.2167803446451822,0.1620832880338033,0.1670661966005961,,,,,,,,,,,,,0.048875985,21.250363159179688,21.689666748046875,21.71899871826172,22.19366607666016,,,,,33890.07684,17386.74073,0,1170,721,867.5,906.75,690,924,881.5,1.3826851091886825,1,1,1,24.54050064086914,22.148998260498047,25.59950065612793,25.12200164794922,25.11349868774414,21.285499572753903,21.60300064086914,24.80699920654297,23.263999938964844,26.84000015258789,26.160999298095703,23.99650001525879,145.875,97.63815789473684,28.104149756493506,32.00750494622565,37.08432046469156,43.22429230925325,21038.60938,25081.1543,30282.29297,36431.33984,188.04635761589404,224.1693398178808,270.66457988410593,325.6307170943709,,,,
MW201700000009,MWGE7IFL,MW,2017,9,MW2017MIS,26364.28125,30546.00781,35603.44531,,,,,,,,,0.000653114,0.001188308,0.002250217,33.558484395345054,34.14833323160807,33.94861094156901,34.049163818359375,,,,,7,2676.833333333333,3041.833333333333,3070.6666666666665,2909.5,3161,2994.6666666666665,3027,,,,,39.06912442396313,989.2578125,8,0.070778802,0.269881716,0.2689779471068562,0.7540043032189292,26.95697021484375,27.61291504,27.496251424153645,27.633875528971355,3.840471972216357,187.3916279560811,-1,8.909745499894425,12.68497611380912,0.6853358638179194,0.3269169807434082,0.2829147338867187,0.2353519439697265,0.2476069688796997,0.2660735845565796,0.214128304,0.1624491214752197,0.1821120738983154,,,,,,,,,,,,,0.004350976,20.355453491210938,21.07750066121419,21.04388936360677,21.218585968017575,,,,,47201.85808,10988.8717,768.116251,910.3333333333334,635.1666666666666,856.1666666666666,769.8333333333334,617,812.6666666666666,818.3333333333334,0.6985167769698409,1,1,1,24.554000854492188,22.18899917602539,25.66849899291992,25.078500747680664,25.040000915527344,21.35599899291992,21.737499237060547,24.80099868774414,23.36949920654297,27.06700134277344,26.37549973,24.09899902,206.44594594594597,109.36036036036036,19.916517283818493,22.682701912100452,26.280483019406397,30.63168432505708,21479.09766,25367.54883,30341.40625,36173.82031,125.28773970170457,147.9625,176.96225142045455,210.9695313,,,,
MW201700000010,MWGE7IFL,MW,2017,10,MW2017MIS,15710.36328,18202.23633,21215.94141,132.35000610351562,107.0666732788086,133.1666717529297,94.32499695,39.11822509765625,27.27813148498535,35.82959747314453,25.60859680175781,2.365302556334212e-05,0.000171537,0.000171199,25.881602894176137,27.519697709517047,26.59212147105824,27.595908425071023,9.941666603,10.216667175292969,10.033333778381348,10.31666660308838,7,3587.2727272727275,3558.2727272727275,3624.4545454545455,3710.818181818182,4125.909090909091,4024,4024.909090909091,0,0,0,0,16.256,782.8324219,8,3.960237741470337,0.272548589,0.2872673500631378,0.8340167946955713,21.34803355823864,22.498485218394887,22.170604359019887,22.505609685724437,0.013259279,25.64176563,-1,0.1881576334635416,0.6461090494791667,0.002106782,0.3168594042460124,0.23195111,0.2923227310180664,0.1877528190612793,0.2533871014912923,0.1679157574971516,0.2209729194641113,0.1255501747131347,28.74166679382324,29.825000762939453,29.55000114440918,29.55000114440918,23.75,24.69166755676269,24.51666641235352,24.358333587646484,18.80000114440918,19.608333587646484,19.51666641235352,19.233333587646484,0.002544442,16.814462835138496,17.477272727272727,17.749090021306817,17.41530817205256,3.383333444595337,3.9250001907348633,3.7166666984558105,3.683333396911621,60573.82481,72032.221,24797.38154,1574.7,1101,1122.8,1299.4,840.6,1291.1,1162.4,2.5575257161458333,1,1,1,21.207500457763672,17.751998901367188,22.42449951171875,22.173999786376957,22.28274917602539,16.75374984741211,17.113998413085938,21.92999839782715,19.138750076293945,23.707000732421875,22.85824966430664,19.922250747680664,365.992,55.744,6.614231840093085,7.532875872672872,8.727689702460106,10.172715207363696,14188.39453,15726.8623,17657.0918,19751.09375,44.89597916666666,49.76410416666667,55.871885416666665,62.49788541666667,9.326666831970217,7.896666526794434,10.598333358764648,7.610833168029785
